asof_date,ticker,trailing_eps_dart,trailing_eps_scrape,consensus_eps_scrape,naver_sector,source_primary,forward_eps_auto,eps_growth_auto_pct
2026-04-28,003280,126.1283023519124,127.0,,해운사,DART,138.74113258710364,10.0
2026-04-28,003300,2008.9107962135488,1024.0,,건축자재,DART,2209.801875834904,10.0
2026-04-28,003380,4586.912651464162,2051.0,,식품,DART,5045.603916610578,10.0
2026-04-28,003470,479.1241408870661,450.0,,증권,DART|DAILY_DISC,527.0365549757728,10.0
2026-04-28,003490,1757.8396566047118,2111.0,498.0,항공사,DART,498.0,
2026-04-28,003530,475.46519650460135,465.0,,증권,DART|DAILY_DISC,523.0117161550615,10.0
2026-04-28,003540,3793.7302339306266,2044.0,,증권,DART|DAILY_DISC,4173.10325732369,10.0
2026-04-28,003550,6484.961232890973,4628.0,7820.0,복합기업,DART|DAILY_DISC,7820.0,
2026-04-28,003570,1851.72758949447,1852.0,,자동차부품,DART,2036.9003484439168,10.0
2026-04-28,003620,230.1248183569315,232.0,,자동차,DART|DAILY_DISC,253.13730019262468,10.0
2026-04-28,003670,410.6064444784725,386.0,313.0,화학,DART,313.0,
2026-04-28,003690,1822.3155821957605,1653.0,,손해보험,DART,2004.5471404153368,10.0
2026-04-28,003800,5047.208299909828,5047.0,,가구,DART,5551.929129900812,10.0
2026-04-28,003850,749.5632139999616,748.0,,제약,DART,824.5195353999578,10.0
2026-04-28,004000,4112.129535581395,4112.0,5901.0,화학,DART|DAILY_DISC,5901.0,
2026-04-28,004020,10.408811533462822,-52.0,2060.0,철강,DART|DAILY_DISC,2060.0,
2026-04-28,004170,6839.837304758903,1440.0,26485.0,백화점과일반상점,DART,26485.0,
2026-04-28,004370,27957.33328477987,27970.0,30570.0,식품,DART,30570.0,
2026-04-28,004490,10204.202214502164,10076.0,,자동차부품,DART,11224.62243595238,10.0
2026-04-28,004690,32386.00962090246,27498.0,,가스유틸리티,DART,35624.61058299271,10.0
2026-04-28,004700,1735.7999430903676,1736.0,,"섬유,의류,신발,호화품",DART,1909.3799373994043,10.0
2026-04-28,004800,25215.68690934456,19707.0,17204.0,복합기업,DART|DAILY_DISC,17204.0,
2026-04-28,004990,-5970.105804369684,-6125.0,,복합기업,DART,-6567.116384806653,10.0
2026-04-28,005070,-15.741605634466874,-16.0,,화학,DART|DAILY_DISC,-17.31576619791356,10.0
2026-04-28,005090,-6579.734319694048,-4259.0,1254.0,에너지장비및서비스,DART,1254.0,
2026-04-28,005180,5994.740426696167,5757.0,,식품,DART,6594.214469365784,10.0
2026-04-28,005250,-889.2431566287554,-1403.0,,제약,DART,-978.167472291631,10.0
2026-04-28,005290,1830.0719996388568,1927.0,,반도체와반도체장비,DART,2013.0791996027424,10.0
2026-04-28,005300,5517.727491258647,4697.0,10718.0,음료,DART|DAILY_DISC,10718.0,
2026-04-28,005380,50619.69175811383,35331.0,40715.0,자동차,DART|DAILY_DISC,40715.0,
2026-04-28,005387,,35331.0,40715.0,자동차,SCRAPE,40715.0,
2026-04-28,005389,,35331.0,40715.0,자동차,SCRAPE,40715.0,
2026-04-28,005420,-806.1065914574345,-790.0,,화학,DART,-886.7172506031781,10.0
2026-04-28,005440,3326.796532701173,2643.0,1788.0,복합기업,DART,1788.0,
2026-04-28,005490,6365.393138701126,8085.0,22435.0,철강,DART,22435.0,
2026-04-28,005610,1626.502234265835,1627.0,,식품,DART,1789.1524576924187,10.0
2026-04-28,005690,671.293309621593,671.0,958.0,화학,DART,958.0,
2026-04-28,005810,5157.935458267752,5163.0,,비철금속,DART,5673.729004094528,10.0
2026-04-28,005830,25806.828663668857,25263.0,,손해보험,DART,28387.511530035747,10.0
2026-04-28,005850,6906.362346356784,6692.0,7950.0,자동차부품,DART,7950.0,
