run_id,run_type,as_of_date,status,started_at,finished_at,warning_count,error_count,code_version
20260505122541-9b5a9978,daily,2026-05-05,success,2026-05-05T12:25:41,2026-05-05T12:26:11,0,0,pipeline-v1
20260505122710-7eb02f7b,daily,2026-05-05,running,2026-05-05T12:27:10,,0,0,pipeline-v1
20260505122732-edc8d6ab,daily,2026-05-05,running,2026-05-05T12:27:32,,0,0,pipeline-v1
20260505122710-7eb02f7b,daily,2026-05-05,success,2026-05-05T12:27:10,2026-05-05T12:27:41,0,0,pipeline-v1
20260505122850-d7c4e745,daily,2026-05-05,running,2026-05-05T12:28:50,,0,0,pipeline-v1
20260505122850-d7c4e745,daily,2026-05-05,success,2026-05-05T12:28:50,2026-05-05T12:29:11,0,0,pipeline-v1
20260505123155-861b3e26,daily,2026-05-05,running,2026-05-05T12:31:55,,0,0,pipeline-v1
20260505123155-861b3e26,daily,2026-05-05,success,2026-05-05T12:31:55,2026-05-05T12:32:18,0,0,pipeline-v1
20260505122732-edc8d6ab,daily,2026-05-05,success,2026-05-05T12:27:32,2026-05-05T12:34:46,0,0,pipeline-v1
20260506183451-1c6a64f3,daily,2026-05-06,running,2026-05-06T18:34:51,,0,0,pipeline-v1
20260506183451-1c6a64f3,daily,2026-05-06,success,2026-05-06T18:34:51,2026-05-06T18:41:38,0,0,pipeline-v1
20260508191255-35447d97,daily,2026-05-08,running,2026-05-08T19:12:55,,0,0,pipeline-v1
20260508191255-35447d97,daily,2026-05-08,failed,2026-05-08T19:12:55,2026-05-08T19:12:55,0,1,pipeline-v1
20260508191337-aace9c61,daily,2026-05-08,running,2026-05-08T19:13:37,,0,0,pipeline-v1
20260508191337-aace9c61,daily,2026-05-08,failed,2026-05-08T19:13:37,2026-05-08T19:13:40,0,1,pipeline-v1
20260508191449-9647e2cd,daily,2026-05-08,running,2026-05-08T19:14:49,,0,0,pipeline-v1
20260508191449-9647e2cd,daily,2026-05-08,failed,2026-05-08T19:14:49,2026-05-08T19:14:51,0,1,pipeline-v1
20260508191544-d378dccb,daily,2026-05-08,running,2026-05-08T19:15:44,,0,0,pipeline-v1
20260508191544-d378dccb,daily,2026-05-08,failed,2026-05-08T19:15:44,2026-05-08T19:15:45,0,1,pipeline-v1
20260508191651-f375fd40,daily,2026-05-08,running,2026-05-08T19:16:51,,0,0,pipeline-v1
20260508191651-f375fd40,daily,2026-05-08,failed,2026-05-08T19:16:51,2026-05-08T19:20:05,0,1,pipeline-v1
