ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
078930,0.0,10.0,8.0,12.0,16.0,,3.0,석유와가스
064400,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
029780,0.0,10.0,8.0,12.0,16.0,,3.0,카드
001040,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
062040,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
454910,0.0,10.0,8.0,12.0,16.0,,3.0,기계
138930,0.0,10.0,8.0,12.0,16.0,,3.0,은행
021240,0.0,10.0,8.0,12.0,16.0,,3.0,가정용기기와용품
175330,0.0,10.0,8.0,12.0,16.0,,3.0,은행
036570,0.0,10.0,8.0,12.0,16.0,,3.0,게임엔터테인먼트
088980,0.0,10.0,8.0,12.0,16.0,,3.0,기타
271560,0.0,10.0,8.0,12.0,16.0,,3.0,식품
004020,0.0,10.0,8.0,12.0,16.0,,3.0,철강
450080,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
022100,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
010060,0.0,10.0,8.0,12.0,16.0,,3.0,화학
002380,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
082740,0.0,10.0,8.0,12.0,16.0,,3.0,조선
353200,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
000990,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
011790,0.0,10.0,8.0,12.0,16.0,,3.0,화학
018880,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
088350,0.0,10.0,8.0,12.0,16.0,,3.0,생명보험
251270,0.0,10.0,8.0,12.0,16.0,,3.0,게임엔터테인먼트
103590,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
489790,0.0,10.0,8.0,12.0,16.0,,3.0,통신장비
017800,0.0,10.0,8.0,12.0,16.0,,3.0,기계
051900,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
011170,0.0,10.0,8.0,12.0,16.0,,3.0,화학
375500,0.0,10.0,8.0,12.0,16.0,,3.0,건설
111770,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
035250,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
302440,0.0,10.0,8.0,12.0,16.0,,3.0,제약
012510,0.0,10.0,8.0,12.0,16.0,,3.0,소프트웨어
004170,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
097950,0.0,10.0,8.0,12.0,16.0,,3.0,식품
012750,0.0,10.0,8.0,12.0,16.0,,3.0,상업서비스와공급품
439260,0.0,10.0,8.0,12.0,16.0,,3.0,조선
031210,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
011780,0.0,10.0,8.0,12.0,16.0,,3.0,화학
023530,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
001720,0.0,10.0,8.0,12.0,16.0,,3.0,증권
036460,0.0,10.0,8.0,12.0,16.0,,3.0,가스유틸리티
457190,0.0,10.0,8.0,12.0,16.0,,3.0,화학
006360,0.0,10.0,8.0,12.0,16.0,,3.0,건설
014680,0.0,10.0,8.0,12.0,16.0,,3.0,화학
071970,0.0,10.0,8.0,12.0,16.0,,3.0,조선
336260,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
139130,0.0,10.0,8.0,12.0,16.0,,3.0,은행
028670,0.0,10.0,8.0,12.0,16.0,,3.0,해운사
085620,0.0,10.0,8.0,12.0,16.0,,3.0,생명보험
004990,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
103140,0.0,10.0,8.0,12.0,16.0,,3.0,비철금속
00680K,0.0,10.0,8.0,12.0,16.0,,3.0,증권
009970,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
005850,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
139480,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
020150,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
026960,0.0,10.0,8.0,12.0,16.0,,3.0,식품
008930,0.0,10.0,8.0,12.0,16.0,,3.0,제약
112610,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
001450,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
001430,0.0,10.0,8.0,12.0,16.0,,3.0,철강
051600,0.0,10.0,8.0,12.0,16.0,,3.0,전기유틸리티
004800,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
017960,0.0,10.0,8.0,12.0,16.0,,3.0,조선
120110,0.0,10.0,8.0,12.0,16.0,,3.0,화학
097230,0.0,10.0,8.0,12.0,16.0,,3.0,건설
383220,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
279570,0.0,10.0,8.0,12.0,16.0,,3.0,은행
009420,0.0,10.0,8.0,12.0,16.0,,3.0,제약
204320,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
483650,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
