model_id,feature_name,importance,rank
entry,entry_20260428_223241,5일수익률(%),0.0017971758664954596,4
entry,entry_20260428_223241,현재PER,0.0011553273427470589,5
entry,entry_20260428_223241,20일수익률(%),0.0010269576379973832,6
entry,entry_20260428_223241,자동선행EPS,0.0006418485237483784,7
entry,entry_20260428_223241,시장,0.00038510911424902703,8
entry,entry_20260428_223241,120일이평,0.0,9
entry,entry_20260428_223241,60일이평,0.0,10
entry,entry_20260428_223241,20일이평,0.0,11
entry,entry_20260428_223241,종가,0.0,12
entry,entry_20260428_223241,거래량비율20일,0.0,13
entry,entry_20260428_223241,200일선상단여부,0.0,14
entry,entry_20260428_223241,RSI14,0.0,15
entry,entry_20260428_223241,MACD히스토그램,0.0,16
entry,entry_20260428_223241,200일이평,0.0,17
entry,entry_20260428_223241,모델EPS,0.0,18
entry,entry_20260428_223241,적정주가_기준,0.0,19
entry,entry_20260428_223241,컨센서스EPS(스크랩),0.0,20
entry,entry_20260428_223241,적자여부,0.0,21
entry,entry_20260428_223241,최대비중(%),0.0,22
entry,entry_20260428_223241,레짐비중배수,0.0,23
entry,entry_20260428_223241,volume_ratio_pct_rank,0.0,24
entry,entry_20260428_223241,섹터그룹,0.0,25
entry,entry_20260428_223241,마켓레짐,0.0,26
entry,entry_20260428_223241,EPS소스,0.0,27
entry,entry_20260428_223241,원본EPS출처,0.0,28
alpha,alpha_20260428_223255,상승여력(%),0.16726572528883182,1
alpha,alpha_20260428_223255,200일선상단여부,0.03543003851091142,2
alpha,alpha_20260428_223255,RSI14,0.0026957637997432338,3
alpha,alpha_20260428_223255,200일이평,0.0014120667522464548,4
alpha,alpha_20260428_223255,20일돌파,0.0008985879332477298,5
alpha,alpha_20260428_223255,60일이평,0.0005134788189987028,6
alpha,alpha_20260428_223255,현재PER,0.00038510911424902703,7
alpha,alpha_20260428_223255,120일이평,0.0,8
alpha,alpha_20260428_223255,MACD히스토그램,0.0,9
alpha,alpha_20260428_223255,거래량비율20일,0.0,10
alpha,alpha_20260428_223255,종가,0.0,11
alpha,alpha_20260428_223255,20일이평,0.0,12
alpha,alpha_20260428_223255,20일수익률(%),0.0,13
alpha,alpha_20260428_223255,5일수익률(%),0.0,14
alpha,alpha_20260428_223255,후행EPS(DART),0.0,15
alpha,alpha_20260428_223255,컨센서스EPS(스크랩),0.0,16
alpha,alpha_20260428_223255,모델EPS,0.0,17
alpha,alpha_20260428_223255,자동선행EPS,0.0,18
alpha,alpha_20260428_223255,적정주가_기준,0.0,19
alpha,alpha_20260428_223255,적자여부,0.0,20
alpha,alpha_20260428_223255,최대비중(%),0.0,21
alpha,alpha_20260428_223255,레짐비중배수,0.0,22
alpha,alpha_20260428_223255,volume_ratio_pct_rank,0.0,23
alpha,alpha_20260428_223255,시장,0.0,24
alpha,alpha_20260428_223255,섹터그룹,0.0,25
alpha,alpha_20260428_223255,마켓레짐,0.0,26
alpha,alpha_20260428_223255,EPS소스,0.0,27
alpha,alpha_20260428_223255,원본EPS출처,0.0,28
entry,entry_20260428_223301,상승여력(%),0.02695763799743256,1
entry,entry_20260428_223301,20일돌파,0.02464698331193833,2
entry,entry_20260428_223301,후행EPS(DART),0.002182284980744498,3
entry,entry_20260428_223301,5일수익률(%),0.0017971758664954596,4
entry,entry_20260428_223301,현재PER,0.0011553273427470589,5
entry,entry_20260428_223301,20일수익률(%),0.0010269576379973832,6
entry,entry_20260428_223301,자동선행EPS,0.0006418485237483784,7
entry,entry_20260428_223301,시장,0.00038510911424902703,8
entry,entry_20260428_223301,120일이평,0.0,9
entry,entry_20260428_223301,60일이평,0.0,10
entry,entry_20260428_223301,20일이평,0.0,11
entry,entry_20260428_223301,종가,0.0,12
entry,entry_20260428_223301,거래량비율20일,0.0,13
entry,entry_20260428_223301,200일선상단여부,0.0,14
entry,entry_20260428_223301,RSI14,0.0,15
entry,entry_20260428_223301,MACD히스토그램,0.0,16
entry,entry_20260428_223301,200일이평,0.0,17
entry,entry_20260428_223301,모델EPS,0.0,18
entry,entry_20260428_223301,적정주가_기준,0.0,19
entry,entry_20260428_223301,컨센서스EPS(스크랩),0.0,20
entry,entry_20260428_223301,적자여부,0.0,21
entry,entry_20260428_223301,최대비중(%),0.0,22
entry,entry_20260428_223301,레짐비중배수,0.0,23
entry,entry_20260428_223301,volume_ratio_pct_rank,0.0,24
entry,entry_20260428_223301,섹터그룹,0.0,25
entry,entry_20260428_223301,마켓레짐,0.0,26
entry,entry_20260428_223301,EPS소스,0.0,27
entry,entry_20260428_223301,원본EPS출처,0.0,28
alpha,alpha_20260505_124654,상승여력(%),0.15969191270860078,1
alpha,alpha_20260505_124654,200일선상단여부,0.040693196405648266,2
alpha,alpha_20260505_124654,현재PER,0.006033376123234924,3
alpha,alpha_20260505_124654,RSI14,0.0030808729139922943,4
alpha,alpha_20260505_124654,20일돌파,0.0025673940949935913,5
alpha,alpha_20260505_124654,200일이평,0.0016688061617458395,6
alpha,alpha_20260505_124654,volume_ratio_pct_rank,0.0011553273427470812,7
alpha,alpha_20260505_124654,거래량비율20일,0.0010269576379974056,8
alpha,alpha_20260505_124654,20일수익률(%),0.0008985879332477742,9
alpha,alpha_20260505_124654,20일이평,0.000898587933247752,10
alpha,alpha_20260505_124654,120일이평,0.0002567394094993514,11
alpha,alpha_20260505_124654,종가,0.0002567394094993514,12
alpha,alpha_20260505_124654,적자여부,0.0,13
alpha,alpha_20260505_124654,MACD히스토그램,0.0,14
alpha,alpha_20260505_124654,60일이평,0.0,15
alpha,alpha_20260505_124654,후행EPS(DART),0.0,16
alpha,alpha_20260505_124654,모델EPS,0.0,17
alpha,alpha_20260505_124654,자동선행EPS,0.0,18
alpha,alpha_20260505_124654,적정주가_기준,0.0,19
alpha,alpha_20260505_124654,컨센서스EPS(스크랩),0.0,20
alpha,alpha_20260505_124654,섹터그룹,0.0,21
alpha,alpha_20260505_124654,최대비중(%),0.0,22
alpha,alpha_20260505_124654,레짐비중배수,0.0,23
alpha,alpha_20260505_124654,시장,0.0,24
alpha,alpha_20260505_124654,EPS소스,0.0,25
alpha,alpha_20260505_124654,마켓레짐,0.0,26
alpha,alpha_20260505_124654,원본EPS출처,0.0,27
alpha,alpha_20260505_124654,5일수익률(%),-0.00025673940949936245,28
