당일기준일,전일기준일,변화상태,종목명,종목코드,전일추천순위,당일추천순위,순위변화,전일결합액션,당일결합액션,전일종합점수,당일종합점수,종합점수변화,전일기술점수,당일기술점수,기술점수변화,전일밸류점수,당일밸류점수,밸류점수변화,전일20일돌파,당일20일돌파,전일거래량비율20일,당일거래량비율20일,거래량비율20일변화,전일상승여력(%),당일상승여력(%),상승여력변화(%)
2026-05-06,2026-05-05,신규,한화손해보험,000370,,10.0,,,최종매수후보,,89.70205034644849,,,79.40410069289696,,,100.0,,,1.0,,3.3149783601193663,,,323.83517917976576,
2026-05-06,2026-05-05,신규,한화3우B,00088K,,12.0,,,최종매수후보,,89.1416723593899,,,79.7505352885244,,,98.5328094302554,,,1.0,,1.424263632921572,,,145.32809430255404,
2026-05-06,2026-05-05,신규,유진투자증권,001200,,45.0,,,최종매수후보,,75.46558193835169,,,94.73067036230631,,,56.20049351439707,,,1.0,,3.6547027062302195,,,24.923836175995497,
2026-05-06,2026-05-05,신규,KCC,002380,,1.0,,,최종매수후보,,95.03911645984167,,,90.07823291968334,,,100.0,,,1.0,,3.6966047466408414,,,233.4727267313882,
2026-05-06,2026-05-05,신규,에이스침대,003800,,40.0,,,최종매수후보,,77.18455566202363,,,66.24202873986144,,,88.12708258418581,,,1.0,,1.3063265288157675,,,74.04166551413202,
2026-05-06,2026-05-05,신규,미래에셋증권2우B,00680K,,13.0,,,최종매수후보,,88.72778416841597,,,88.86397169817647,,,88.59159663865546,,,1.0,,5.775219114278371,,,74.7563025210084,
2026-05-06,2026-05-05,신규,KG스틸,016380,,5.0,,,최종매수후보,,91.04486372635249,,,85.18338485237233,,,96.90634260033265,,,1.0,,1.6323262755568348,,,129.06342600332655,
2026-05-06,2026-05-05,신규,다우기술,023590,,9.0,,,최종매수후보,,89.80183490867782,,,79.60366981735564,,,100.0,,,1.0,,3.6683393089119116,,,539.658049327777,
2026-05-06,2026-05-05,신규,삼지전자,037460,,4.0,,,최종매수후보,,92.26895739691821,,,87.48380202176939,,,97.05411277206704,,,1.0,,2.0705835328072064,,,130.5411277206704,
2026-05-06,2026-05-05,신규,한화생명,088350,,3.0,,,최종매수후보,,92.57732229059195,,,89.14520005175733,,,96.00944452942657,,,1.0,,3.3402481844118275,,,120.0944452942657,
2026-05-06,2026-05-05,신규,현대그린푸드,453340,,24.0,,,최종매수후보,,81.7082838590768,,,70.24872470026385,,,93.16784301788975,,,1.0,,18.621167823241443,,,91.67843017889746,
2026-05-06,2026-05-05,유지,한국금융지주,071050,16.0,25.0,9.0,최종매수후보,최종매수후보,84.0285037289458,81.31683614119316,-2.711667587752629,84.90824998232918,90.42964326489972,5.521393282570543,83.1487574755624,72.20402901748662,-10.944728458075787,1.0,1.0,1.7448657656360336,2.932060815748469,1.1871950501124355,66.38270380855754,49.54466002690248,-16.83804378165506
2026-05-06,2026-05-05,유지,일진홀딩스,015860,10.0,19.0,9.0,최종매수후보,최종매수후보,85.59232160191453,84.69182497585953,-0.900496626055002,90.56943258335332,90.39686768882774,-0.17256489452557844,80.61521062047575,78.98678226289132,-1.6284283575844256,1.0,1.0,13.153962860183476,5.836108435885541,-7.317854424297935,62.484939416116525,59.97966501983281,-2.505274396283717
