기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,기술점수,시장상태,레짐비중배수,date,market_regime,regime_weight_multiplier,sector_group
2026-05-06,삼성전자,005930,KS,반도체와반도체장비,266000.0,217775.0,196505.83333333334,158892.08333333334,126907.0,1,75.4591868164917,2920.4523581806316,2.3656634889863533,1,18.485523385300674,37.75245986535474,7732.577940801414,36464.0,36464.0,DART|DAILY_DISC,TRAILING_DART,,7732.577940801414,34.39991190989941,92790.93528961697,-65.1161897407455,5.0,91.449199549949,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,SK하이닉스,000660,KS,반도체와반도체장비,1601000.0,1190750.0,1015916.6666666666,831000.0,636167.5,1,83.57470222867909,32920.02239043372,1.8417497931119533,1,23.91640866873066,80.6997742663657,60260.64190203718,224066.0,224066.0,DART|DAILY_DISC,TRAILING_DART,,60260.64190203718,26.56792144037676,723127.7028244461,-54.83274810590593,5.0,87.40170300237678,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,현대차,005380,KS,자동차,550000.0,521200.0,516008.3333333333,427516.6666666667,346677.5,1,57.349207246532494,2527.567134545481,1.757613503888596,0,4.961832061068705,17.27078891257996,50619.69175811383,40715.0,40715.0,DART|DAILY_DISC,TRAILING_DART,,50619.69175811383,10.865336806635936,607436.301097366,10.442963835884722,46.78792649332507,73.01248781960028,BULL,1.0,2026-05-06,BULL,1.0,자동차
2026-05-06,LG에너지솔루션,373220,KS,전기제품,482000.0,442675.0,407916.6666666667,410683.3333333333,398662.5,1,64.1739035127253,2028.7242807026742,1.3124541201372635,0,3.87931034482758,16.848484848484844,345.3119658119658,-416.0,-416.0,DART|DAILY_DISC,TRAILING_DART,,345.3119658119658,1395.8392633936858,4143.74358974359,-99.14030215980424,5.0,77.2283816014702,BULL,1.0,2026-05-06,BULL,1.0,전기제품
2026-05-06,SK스퀘어,402340,KS,복합기업,1089000.0,720250.0,613316.6666666666,487591.6666666667,368377.5,1,88.39265590339754,35847.987807985744,2.9989275042275083,1,38.02281368821292,123.61396303901438,66829.3639178036,187971.0,187971.0,DART,TRAILING_DART,,66829.3639178036,16.29523215781927,801952.3670136431,-26.35882763878392,16.936025816064067,89.14548003450088,BULL,1.0,2026-05-06,BULL,1.0,복합기업
2026-05-06,삼성바이오로직스,207940,KS,제약,1480000.0,1547850.0,1607383.3333333333,1691113.709375,1670096.734375,0,38.03150543069084,-7211.970936190748,1.9510406822962918,0,-1.9218025182239917,-4.8231511254019255,38546.45502083118,39968.0,39968.0,DART,TRAILING_DART,,38546.45502083118,38.39522983890949,462557.46024997416,-68.74611755067743,5.0,20.702608343126514,BULL,1.0,2026-05-06,BULL,1.0,제약
2026-05-06,한화에어로스페이스,012450,KS,우주항공과국방,1433000.0,1459350.0,1364566.6666666667,1194058.3333333333,1096820.0,1,50.74529564075847,-6530.852441578254,0.8954873101206551,0,-1.4442916093535096,-1.172413793103444,42704.38030261037,46112.0,46112.0,DART|DAILY_DISC,TRAILING_DART,,42704.38030261037,33.55627665933852,512452.56363132445,-64.23917909062635,5.0,65.62592958280844,BULL,1.0,2026-05-06,BULL,1.0,우주항공과국방
2026-05-06,두산에너빌리티,034020,KS,기계,127000.0,113915.0,103930.0,92773.33333333333,82943.5,1,69.83187335275701,1267.4690598051884,1.0455982758528886,0,-1.4740108611326574,32.706374085684416,320.2863634192387,512.0,512.0,DART,TRAILING_DART,,320.2863634192387,396.5201597851464,3843.436361030864,-96.97367215666861,5.0,76.11161356369968,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,기아,000270,KS,자동차,154600.0,154470.0,161116.66666666666,145065.83333333334,129205.5,1,48.57442932719901,154.9239522789992,1.171089107525716,0,1.3106159895150737,1.978891820580464,19349.186729689773,21385.0,21385.0,DART|DAILY_DISC,TRAILING_DART,,19349.186729689773,7.989999898175499,232190.2407562773,50.18773658232683,72.62202877851243,54.43975286199727,BULL,1.0,2026-05-06,BULL,1.0,자동차
2026-05-06,KB금융,105560,KS,은행,158900.0,157930.0,154576.66666666666,141377.5,130459.5,1,55.00573387005051,-205.22559684566113,1.7913342018747433,0,0.9529860228716602,7.437457741717379,15665.033853854356,16924.0,16924.0,DART|DAILY_DISC,TRAILING_DART,,15665.033853854356,10.143610379807951,187980.40624625227,18.301073786187704,51.89569796102201,68.24459443255498,BULL,1.0,2026-05-06,BULL,1.0,은행
2026-05-06,HD현대중공업,329180,KS,조선,648000.0,571000.0,555625.0,559404.1666666666,532940.0,1,63.62790946640672,12894.160545412822,1.3267910445832547,0,-3.714710252600295,37.579617834394895,13485.785488879346,25210.0,25210.0,DART|DAILY_DISC,TRAILING_DART,,13485.785488879346,48.05059375550308,161829.42586655216,-75.02632316874195,5.0,78.0775012902177,BULL,1.0,2026-05-06,BULL,1.0,조선
2026-05-06,삼성전기,009150,KS,전자장비와기기,912000.0,704200.0,503166.6666666667,380904.1666666667,299786.0,1,82.81919840770834,14575.977748644655,1.7805508039554205,0,14.86146095717884,97.40259740259741,9786.495465668211,14602.0,14602.0,DART|DAILY_DISC,TRAILING_DART,,9786.495465668211,93.18964109260226,117437.94558801854,-87.12303228201552,5.0,77.34942585265149,BULL,1.0,2026-05-06,BULL,1.0,전자장비와기기
