기준일,종목명,종목코드,시장,종가,직전20일고가,20일돌파,거래량비율20일
2026-02-27,인화정공,101930,KQ,8900.0,9100.0,0,0.98
2026-03-03,인화정공,101930,KQ,8240.0,9100.0,0,1.27
2026-03-04,인화정공,101930,KQ,7500.0,9100.0,0,1.92
2026-03-05,인화정공,101930,KQ,8750.0,9100.0,0,1.85
2026-03-06,인화정공,101930,KQ,8780.0,9100.0,0,0.81
2026-03-09,인화정공,101930,KQ,8770.0,9100.0,0,1.01
2026-03-10,인화정공,101930,KQ,9340.0,9100.0,1,1.87
2026-03-11,인화정공,101930,KQ,9930.0,9340.0,1,2.12
2026-03-12,인화정공,101930,KQ,10140.0,9930.0,1,0.96
2026-03-13,인화정공,101930,KQ,10080.0,10140.0,0,0.51
2026-03-16,인화정공,101930,KQ,9900.0,10140.0,0,0.68
2026-03-17,인화정공,101930,KQ,10240.0,10140.0,1,1.01
2026-03-18,인화정공,101930,KQ,10300.0,10240.0,1,0.65
2026-03-19,인화정공,101930,KQ,10220.0,10300.0,0,0.55
2026-03-20,인화정공,101930,KQ,10600.0,10300.0,1,0.85
2026-03-23,인화정공,101930,KQ,10000.0,10600.0,0,0.7
2026-03-24,인화정공,101930,KQ,10300.0,10600.0,0,0.65
2026-03-25,인화정공,101930,KQ,10480.0,10600.0,0,1.2
2026-03-26,인화정공,101930,KQ,10140.0,10600.0,0,0.56
2026-03-27,인화정공,101930,KQ,9910.0,10600.0,0,1.21
2026-03-30,인화정공,101930,KQ,9310.0,10600.0,0,0.78
2026-03-31,인화정공,101930,KQ,9240.0,10600.0,0,0.75
2026-04-01,인화정공,101930,KQ,9830.0,10600.0,0,0.8
2026-04-02,인화정공,101930,KQ,9570.0,10600.0,0,0.65
2026-04-03,인화정공,101930,KQ,10000.0,10600.0,0,1.66
2026-04-06,인화정공,101930,KQ,9680.0,10600.0,0,1.11
2026-04-07,인화정공,101930,KQ,9650.0,10600.0,0,1.07
2026-04-08,인화정공,101930,KQ,10020.0,10600.0,0,1.8
2026-04-09,인화정공,101930,KQ,10400.0,10600.0,0,1.71
2026-04-10,인화정공,101930,KQ,,10600.0,0,0.0
2026-03-23,한화,000880,KS,108600.0,139200.0,0,0.85
2026-03-24,한화,000880,KS,114600.0,139200.0,0,0.47
2026-03-25,한화,000880,KS,116700.0,139200.0,0,0.61
2026-03-26,한화,000880,KS,111100.0,139200.0,0,1.02
2026-03-27,한화,000880,KS,111500.0,139200.0,0,1.21
2026-03-30,한화,000880,KS,109300.0,138500.0,0,0.8
2026-03-31,한화,000880,KS,107100.0,138500.0,0,0.87
2026-04-01,한화,000880,KS,113800.0,132600.0,0,0.89
2026-04-02,한화,000880,KS,110900.0,132600.0,0,0.95
2026-04-03,한화,000880,KS,113700.0,132600.0,0,0.76
2026-04-06,한화,000880,KS,115100.0,129600.0,0,0.38
2026-04-07,한화,000880,KS,115500.0,129600.0,0,0.76
2026-04-08,한화,000880,KS,123800.0,129600.0,0,1.19
2026-04-09,한화,000880,KS,121200.0,128600.0,0,0.74
2026-04-10,한화,000880,KS,125600.0,125600.0,1,0.91
2026-04-13,한화,000880,KS,122500.0,125600.0,0,1.0
2026-04-14,한화,000880,KS,123900.0,125600.0,0,1.1
