기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,선택신호,선택신호_신뢰도,선택신호_5일승률(%),선택신호_기대값5일(%),선택신호_발생건수,거래량비율20일,거래량신호점수,거래량백분위(시장내%),거래량판정,과거거래량신호_5일승률(%),과거거래량신호_기대값5일(%),20일돌파,200일선상단여부,RSI14,종합점수,최종판단점수,초보자설명,판단코멘트
2026-05-05,2,KG케미칼,001390,KS,우선검토,"신호:거래량급증_2.5배 (과거5일 승률 49.3%, 기대값 2.32%) | 거래량:2.50배(매우강함, 시장내 상위 93%) | 추세:200일선 상단 / 돌파:없음",거래량급증_2.5배,높음,49.29615229923582,2.3198778152736006,7459.0,2.5035824009216876,100.0,92.91237113402062,매우강함,49.29615229923582,2.3198778152736006,0,1,62.87337634550217,93.02958851166022,66.04866308427158,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:거래량급증_2.5배
2026-05-05,3,솔브레인홀딩스,036830,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.63배(관심증가, 시장내 상위 82%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.629981243742394,48.82242610249376,82.4742268041237,관심증가,,,0,1,62.78383150773145,91.8562213308362,64.29935493158534,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-05-05,4,한화,000880,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.42배(관심증가, 시장내 상위 76%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,1.4186470417403207,36.39100245531298,76.03092783505154,관심증가,,,1,1,66.25125093072188,90.73585719773723,63.51510003841606,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-05-05,6,DB증권,016610,KS,우선검토,"신호:돌파+거래량_1.5배 (과거5일 승률 44.6%, 기대값 2.94%) | 거래량:3.63배(매우강함, 시장내 상위 96%) | 추세:200일선 상단 / 돌파:있음",돌파+거래량_1.5배,높음,44.632768361581924,2.940638272723528,531.0,3.632391093489718,100.0,96.1340206185567,매우강함,44.632768361581924,2.940638272723528,1,1,59.57004321229525,88.05696494234408,62.81613076873027,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:돌파+거래량_1.5배
2026-05-05,5,KG에코솔루션,151860,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.51배(관심증가, 시장내 상위 78%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.5103990902344837,41.78818177849904,78.47938144329896,관심증가,,,0,1,65.13528230849309,88.15218719501274,61.70653103650891,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-05-05,8,HDC,012630,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.99배(보통, 시장내 상위 52%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.9945480947474015,11.444005573376554,51.80412371134021,보통,,,0,1,58.034533616046964,87.21142081545946,61.04799457082162,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-05-05,13,F&F홀딩스,007700,KS,관찰후진입,"신호:돌파+거래량_1.5배 (과거5일 승률 44.6%, 기대값 2.94%) | 거래량:2.77배(매우강함, 시장내 상위 94%) | 추세:200일선 상단 / 돌파:있음",돌파+거래량_1.5배,높음,44.632768361581924,2.940638272723528,531.0,2.768583250107005,100.0,93.55670103092784,매우강함,44.632768361581924,2.940638272723528,1,1,60.85304778615017,84.78077860566867,60.52280033305748,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:돌파+거래량_1.5배
2026-05-05,9,제이에스코퍼레이션,194370,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.74배(약함, 시장내 상위 30%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.743903898867522,0.0,30.412371134020617,약함,,,0,1,66.1618355851711,85.90657534509177,60.13460274156423,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-05-05,16,한국금융지주,071050,KS,관찰후진입,"신호:돌파+거래량_1.5배 (과거5일 승률 44.6%, 기대값 2.94%) | 거래량:1.74배(관심증가, 시장내 상위 85%) | 추세:200일선 상단 / 돌파:있음",돌파+거래량_1.5배,높음,44.632768361581924,2.940638272723528,531.0,1.7448657656360336,55.5803391550608,84.66494845360825,관심증가,44.632768361581924,2.940638272723528,1,1,59.126624646212704,84.0285037289458,59.99620791935146,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:돌파+거래량_1.5배
2026-05-05,17,아이티센글로벌,124500,KQ,관찰후진입,"신호:돌파+거래량_1.5배 (과거5일 승률 44.6%, 기대값 2.94%) | 거래량:1.79배(관심증가, 시장내 상위 85%) | 추세:200일선 상단 / 돌파:있음",돌파+거래량_1.5배,높음,44.632768361581924,2.940638272723528,531.0,1.7867967717782773,58.046868928133954,85.4381443298969,관심증가,44.632768361581924,2.940638272723528,1,1,63.94186846745423,83.83345304272133,59.85967243899434,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:돌파+거래량_1.5배
