날짜,추천순위,종목명,종목코드,시장,결합액션,투자사유약,거래량비율20일,20일돌파,200일선상단여부,RSI14,종합지수,주의사항
2026-05-09,36,KCC,002380,KS,진입_관심,상승잠재 243% | 200일선상단 | MACD+,0.7863871830220998,0,1,,97.5,EPS스크래핑
2026-05-09,37,성우하이텍,015750,KQ,진입_관심,상승잠재 193% | 200일선상단 | 거래량상승1.9x,1.862462628893129,0,1,,97.5,EPS스크래핑
2026-05-09,38,제이에스코퍼레이션,194370,KS,진입_관심,상승잠재 146% | 200일선상단 | MACD+,0.5415619112926556,0,1,,97.5,EPS스크래핑
2026-05-09,39,LX홀딩스,383800,KS,진입_관심,상승잠재 137% | 200일선상단 | MACD+,0.6423306368814996,0,1,,97.5,EPS스크래핑
2026-05-09,40,KG스틸,016380,KS,추천_매수진입,상승잠재 127% | 200일선상단 | 20일돌파 | MACD+,0.6609080314948349,1,1,,97.5,EPS스크래핑
2026-05-09,41,E1,017940,KS,진입_관심,상승잠재 95% | 200일선상단 | MACD+,0.4295127472645933,0,1,,97.5,EPS스크래핑
2026-05-09,42,세방전지,004490,KS,진입_관심,상승잠재 90% | 200일선상단 | MACD+,0.8735794065293508,0,1,,97.5,EPS스크래핑
2026-05-09,43,미래에셋증권2우B,00680K,KS,진입_관심,상승잠재 82% | 200일선상단 | MACD+,0.9049514713604196,0,1,,97.5,EPS스크래핑
2026-05-09,44,아이티센글로벌,124500,KQ,진입_관심,상승잠재 76% | 200일선상단 | MACD+,0.7078930854661047,0,1,,97.5,EPS스크래핑
2026-05-09,45,NICE,034310,KS,진입_관심,상승잠재 74% | 200일선상단 | MACD+,0.5233960329291567,0,1,,97.5,EPS스크래핑
2026-05-09,46,한국금융지주,071050,KS,진입_관심,상승잠재 62% | 200일선상단 | MACD+,0.5905016347793847,0,1,,97.5,EPS스크래핑
2026-05-09,47,한국단자,025540,KS,진입_관심,상승잠재 40% | 200일선상단 | MACD+,0.6887947151938177,0,1,,97.5,EPS스크래핑
2026-05-09,48,하나금융지주,086790,KS,진입_관심,상승잠재 40% | 200일선상단 | MACD+,0.8484383543139234,0,1,,97.5,EPS스크래핑
2026-05-09,49,영원무역,111770,KS,진입_관심,상승잠재 37% | 200일선상단 | MACD+,1.1007606223046564,0,1,,97.5,EPS스크래핑
2026-05-09,50,DN오토모티브,007340,KS,추천_매수진입,상승잠재 30% | 200일선상단 | 20일돌파 | MACD+,0.9468877186723268,1,1,,97.5,EPS스크래핑
2026-05-09,51,유진투자증권,001200,KS,진입_관심,상승잠재 30% | 200일선상단 | MACD+,0.6754171515562671,0,1,,97.5,EPS스크래핑
2026-05-09,52,수산인더스트리,126720,KS,진입_관심,상승잠재 22% | 200일선상단 | MACD+,0.6554070692344074,0,1,,97.5,EPS스크래핑
2026-05-09,53,명신산업,009900,KS,진입_관심,상승잠재 22% | 200일선상단 | MACD+,0.9091695724109448,0,1,,97.5,EPS스크래핑
2026-05-09,54,KB금융,105560,KS,추천_매수진입,상승잠재 16% | 200일선상단 | 20일돌파,1.0979816420269717,1,1,,95.31571293000331,EPS스크래핑
2026-05-09,57,하이록코리아,013030,KQ,진입_관심,상승잠재 1400610478% | 200일선상단,1.2335899376720785,0,1,,95.0,EPS스크래핑
2026-05-09,58,현대해상,001450,KS,진입_관심,상승잠재 341% | 200일선상단 | MACD+,0.9538439917907164,0,1,,95.0,EPS스크래핑
2026-05-09,59,인화정공,101930,KQ,진입_관심,상승잠재 135% | 200일선상단 | MACD+,1.362607422669233,0,1,,95.0,EPS스크래핑
2026-05-09,60,서희건설,035890,KQ,진입_관심,상승잠재 126% | 200일선상단 | MACD+,1.2137858158027828,0,1,,95.0,EPS스크래핑
2026-05-09,61,SK디스커버리,006120,KS,진입_관심,상승잠재 69% | 200일선상단 | MACD+,0.7966286690388672,0,1,,95.0,EPS스크래핑
2026-05-09,62,서부T&D,006730,KQ,진입_관심,상승잠재 52% | 200일선상단 | MACD+,0.7415404191770235,0,1,,95.0,EPS스크래핑
2026-05-09,63,HDC,012630,KS,진입_관심,상승잠재 17977701599% | 200일선상단,0.6333366038676675,0,1,,92.5,EPS스크래핑
2026-05-09,65,한라IMS,092460,KQ,진입_관심,상승잠재 1626981630% | 200일선상단,0.4483103111691512,0,1,,92.5,EPS스크래핑
2026-05-09,66,성광벤드,014620,KQ,진입_관심,상승잠재 999239273% | 200일선상단,1.0126377399809132,0,1,,92.5,EPS스크래핑
2026-05-09,67,코오롱인더,120110,KS,진입_관심,상승잠재 673429982% | 200일선상단,0.7013618185612905,0,1,,92.5,EPS스크래핑
2026-05-09,68,KG에코솔루션,151860,KQ,진입_관심,상승잠재 578% | 200일선상단,1.0775573280647102,0,1,,92.5,EPS스크래핑
2026-05-09,69,농심홀딩스,072710,KS,진입_관심,상승잠재 208% | 200일선상단,0.676579854278062,0,1,,92.5,EPS스크래핑
2026-05-09,70,삼천리,004690,KS,진입_관심,상승잠재 167% | 200일선상단 | MACD+,0.882950456441481,0,1,,92.5,EPS스크래핑
2026-05-09,71,삼지전자,037460,KQ,진입_관심,상승잠재 140% | 200일선상단 | MACD+,0.558862459255463,0,1,,92.5,EPS스크래핑
2026-05-09,72,코리안리,003690,KS,진입_관심,상승잠재 81% | 200일선상단 | MACD+,0.9792032194733788,0,1,,92.5,EPS스크래핑
2026-05-09,73,iM금융지주,139130,KS,진입_관심,상승잠재 79% | 200일선상단,0.6861446102639269,0,1,,92.5,EPS스크래핑
2026-05-09,74,더블유게임즈,192080,KS,진입_관심,상승잠재 74% | 200일선상단 | MACD+,0.5120585134111351,0,1,,92.5,EPS스크래핑
2026-05-09,75,케이프,064820,KQ,진입_관심,상승잠재 64% | 200일선상단 | MACD+,0.2867796204691157,0,1,,92.5,EPS스크래핑
2026-05-09,76,인터플렉스,051370,KQ,진입_관심,상승잠재 27% | 200일선상단,0.5104505563209873,0,1,,92.5,EPS스크래핑
2026-05-09,77,IPARK현대산업개발,294870,KS,진입_관심,상승잠재 24% | 200일선상단,0.5700654395959921,0,1,,92.5,EPS스크래핑
2026-05-09,78,팬오션,028670,KS,추천_매수진입,상승잠재 13% | 200일선상단 | 20일돌파 | MACD+,1.113316493892011,1,1,,91.42924511154314,EPS스크래핑
2026-05-09,79,SK가스,018670,KS,진입_관심,상승잠재 15% | 200일선상단 | MACD+,0.6099225160961907,0,1,,91.28309481401816,EPS스크래핑
2026-05-09,81,태광,023160,KQ,진입_관심,상승잠재 1960531394% | 200일선상단 | 거래량상승1.6x,1.6142520545390249,0,1,,90.0,EPS스크래핑
2026-05-09,82,오리온홀딩스,001800,KS,진입_관심,상승잠재 165% | 200일선상단,0.9098358871814872,0,1,,90.0,EPS스크래핑
2026-05-09,83,LF,093050,KS,진입_관심,상승잠재 94% | 200일선상단 | 거래량상승1.6x,1.5806482887890638,0,1,,90.0,EPS스크래핑
2026-05-09,85,BGF,027410,KS,진입_관심,상승잠재 40% | 200일선상단,0.9547454403822636,0,1,,90.0,EPS스크래핑
2026-05-09,86,바텍,043150,KQ,진입_관심,상승잠재 37% | 200일선상단 | 거래량상승1.9x,1.9337474057854929,0,1,,90.0,EPS스크래핑
2026-05-09,87,유니드,014830,KS,진입_관심,상승잠재 37% | 200일선상단,0.7594859787350002,0,1,,90.0,EPS스크래핑
2026-05-09,88,DL이앤씨,375500,KS,진입_관심,상승잠재 20% | 200일선상단,0.5621823976407121,0,1,,90.0,EPS스크래핑
2026-05-09,89,효성,004800,KS,진입_관심,상승잠재 15% | 200일선상단 | MACD+,1.2547108670658789,0,1,,88.81570480614769,EPS스크래핑
2026-05-09,90,키움증권,039490,KS,진입_관심,상승잠재 13% | 200일선상단 | MACD+,0.5963868242802552,0,1,,88.41820130246666,EPS스크래핑
2026-05-09,91,현대글로비스,086280,KS,추천_매수진입,상승잠재 11% | 200일선상단 | 20일돌파 | 거래량상승4.9x | MACD+,4.92481735949545,1,1,,88.2228886888446,EPS스크래핑
2026-05-09,92,한전기술,052690,KS,진입_관심,상승잠재 590099501% | 200일선상단,1.493763790794878,0,1,,87.5,EPS스크래핑
2026-05-09,93,다우기술,023590,KS,진입_관심,상승잠재 563% | 200일선상단 | MACD+,0.804681832790985,0,1,,87.5,EPS스크래핑
2026-05-09,94,한화손해보험,000370,KS,진입_관심,상승잠재 353% | 200일선상단 | MACD+,0.798738879560621,0,1,,87.5,EPS스크래핑
2026-05-09,95,한국캐피탈,023760,KQ,진입_관심,상승잠재 305% | 200일선상단 | 거래량상승1.7x,1.6635318891078956,0,1,,87.5,EPS스크래핑
2026-05-09,96,영원무역홀딩스,009970,KS,진입_관심,상승잠재 158% | 200일선상단 | MACD+,0.9526937062269006,0,1,,87.5,EPS스크래핑
2026-05-09,97,넥센타이어,002350,KS,진입_관심,상승잠재 157% | 200일선상단 | 거래량상승1.7x,1.6974504337541954,0,1,,87.5,EPS스크래핑
