order_id,trade_date,ticker,side,order_type,target_weight_pct,reason_code,status
20260428-003800-BUY,2026-04-28,003800,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-027410-BUY,2026-04-28,027410,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-024110-BUY,2026-04-28,024110,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-057050-BUY,2026-04-28,057050,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-059090-BUY,2026-04-28,059090,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-078070-BUY,2026-04-28,078070,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-006730-BUY,2026-04-28,006730,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-005380-BUY,2026-04-28,005380,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-316140-BUY,2026-04-28,316140,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-058650-BUY,2026-04-28,058650,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-003470-BUY,2026-04-28,003470,BUY,MKT,0.0,NEW_ENTRY,제안
20260428-009900-BUY,2026-04-28,009900,BUY,MKT,0.0,NEW_ENTRY,제안
20260428-014830-BUY,2026-04-28,014830,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-126720-BUY,2026-04-28,126720,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-161390-BUY,2026-04-28,161390,BUY,MKT,0.0,NEW_ENTRY,제안
20260428-031330-BUY,2026-04-28,031330,BUY,MKT,1.8,NEW_ENTRY,제안
20260428-000270-BUY,2026-04-28,000270,BUY,MKT,0.5999999999999979,NEW_ENTRY,제안
