as_of_date,ticker,name,market,sector_group,position_status,entry_date,entry_price,current_price,current_weight_pct,target_weight_pct,initial_stop_price,trailing_stop_price,days_held,total_score,combined_action,reason_code,brief_reason,warn_flags,portfolio_weight_pct
2026-05-06,002380,KCC,KS,건축자재,보유,2026-04-28,553000.0,623000.0,0.0,3.0,508760.0,560700.0,0,95.03911645984168,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,000880,한화,KS,복합기업,보유,2026-04-28,129100.0,140600.0,0.0,3.0,118772.0,126540.0,0,93.49725396073254,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,088350,한화생명,KS,생명보험,보유,2026-04-28,4975.0,5250.0,0.0,3.0,4577.0,4725.0,0,92.57732229059197,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,037460,삼지전자,KQ,통신장비,보유,2026-04-28,33700.0,37750.0,0.0,3.0,31004.0,33975.0,0,92.2689573969182,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,016380,KG스틸,KS,철강,보유,2026-04-28,6730.0,7100.0,0.0,3.0,6191.6,6390.0,0,91.08902933938764,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,101930,인화정공,KQ,조선,보유,2026-04-28,10400.0,14290.0,0.0,3.0,9568.0,13626.0,0,90.90334807214865,진입대기,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,023590,다우기술,KS,증권,보유,2026-04-28,47900.0,50100.0,0.0,3.0,44068.0,45090.0,0,89.80183490867782,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,000370,한화손해보험,KS,손해보험,보유,2026-04-28,6760.0,7090.0,0.0,3.0,6219.2,6381.0,0,89.70205034644849,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,00088K,한화3우B,KS,복합기업,보유,2026-04-28,48800.0,50900.0,0.0,3.0,44896.0,45810.0,0,89.1416723593899,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,00680K,미래에셋증권2우B,KS,증권,보유,2026-04-28,20400.0,23800.0,0.0,3.0,18768.0,21420.0,0,88.72778416841598,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,012630,HDC,KS,건설,보유,2026-04-28,27900.0,27650.0,0.0,3.0,25668.0,25920.0,0,88.1576264086395,진입대기,KEEP,비밸류평가,EPS없음,3.0
2026-05-06,016610,DB증권,KS,증권,보유,2026-04-28,14190.0,15610.0,0.0,3.0,13054.8,14049.0,0,87.75659931283259,최종매수후보,KEEP,비밸류평가,EPS없음,3.0
