기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,선택신호,선택신호_신뢰도,선택신호_5일승률(%),선택신호_기대값5일(%),선택신호_발생건수,거래량비율20일,거래량신호점수,거래량백분위(시장내%),거래량판정,과거거래량신호_5일승률(%),과거거래량신호_기대값5일(%),20일돌파,200일선상단여부,RSI14,종합점수,최종판단점수,초보자설명,판단코멘트
2026-04-25,13,현대지에프홀딩스,005440,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.87배(보통, 시장내 상위 45%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.8679118049240482,3.994812054355773,45.103092783505154,보통,,,0,1,55.37006166196602,85.6892507551007,59.98247552857049,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,14,HDC,012630,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.65배(약함, 시장내 상위 24%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.6476296621440514,0.0,24.22680412371134,약함,,,0,1,56.59730039172814,85.48947327507973,59.84263129255581,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,10,KG스틸,016380,KS,관찰후진입,"신호:돌파+거래량+RSI안전 (과거5일 승률 36.8%, 기대값 -2.06%) | 거래량:1.55배(관심증가, 시장내 상위 80%) | 추세:200일선 상단 / 돌파:있음",돌파+거래량+RSI안전,높음,36.83206106870229,-2.0635348212680116,524.0,1.5525121262124266,44.26541918896627,80.41237113402062,관심증가,36.83206106870229,-2.0635348212680116,1,1,65.75844029400847,86.5077850072395,59.73003557656045,과거 통계상 기대수익이 낮거나 음수입니다. 추격매수는 피하는 편이 좋습니다.,신호:돌파+거래량+RSI안전
2026-04-25,15,E1,017940,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.32배(관심증가, 시장내 상위 73%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,1.3189773897230876,30.52808174841692,73.4536082474227,관심증가,,,1,1,60.819960694469096,85.26928108974911,59.68849676282438,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,18,더블유게임즈,192080,KS,관찰후진입,"신호:거래량급증_2.5배 (과거5일 승률 50.2%, 기대값 2.45%) | 거래량:3.16배(매우강함, 시장내 상위 95%) | 추세:200일선 상단 / 돌파:있음",거래량급증_2.5배,높음,50.176909972480665,2.4484615591108576,7631.0,3.162220320311981,100.0,95.10309278350515,매우강함,50.176909972480665,2.4484615591108576,1,1,74.08383784875588,83.35056683351985,59.32478140710823,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:거래량급증_2.5배
2026-04-25,16,한화,000880,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.99배(보통, 시장내 상위 56%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.9926980640392853,11.335180237605016,55.79896907216495,보통,,,0,1,58.9465917677316,84.16458454199099,58.91520917939369,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,17,한화생명,088350,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.21배(관심증가, 시장내 상위 69%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.2126055445294488,24.27091438408522,68.94329896907216,관심증가,,,0,1,55.516916840985246,83.63162818846794,58.542139731927556,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,19,KCC,002380,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.59배(약함, 시장내 상위 19%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.5940928840724272,0.0,18.943298969072163,약함,,,0,1,56.53721907999161,82.81410364652965,57.96987255257075,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,20,인화정공,101930,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.00배(약함, 시장내 상위 0%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.0,0.0,0.3865979381443299,약함,,,0,1,58.72357915565992,82.7808355909495,57.946584913664644,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,21,농심홀딩스,072710,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.13배(보통, 시장내 상위 65%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,1.1349489213418447,19.70287772599086,64.5618556701031,보통,,,1,1,58.07277919040969,82.4967284942992,57.74770994600944,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
