report_date,ticker,name,market,combined_action,signal_score,signal_weight_pct,forward_horizon_days,current_trade_date,current_close,future_close,gross_return_pct,net_return_pct,cost_bps,is_signal
2026-04-25,088350,한화생명,KS,진입대기,83.63162818846794,2.4000000000000004,2,2026-04-24,4965.0,4975.0,0.20140986908359082,-0.09859013091640917,15.0,1
2026-04-25,192080,더블유게임즈,KS,최종매수후보,83.35056683351985,2.4000000000000004,1,2026-04-24,57500.0,57100.0,-0.6956521739130417,-0.9956521739130417,15.0,1
2026-04-25,192080,더블유게임즈,KS,최종매수후보,83.35056683351985,2.4000000000000004,2,2026-04-24,57500.0,62000.0,7.826086956521738,7.5260869565217385,15.0,1
2026-04-25,002380,KCC,KS,진입대기,82.81410364652965,2.4000000000000004,1,2026-04-24,557000.0,552000.0,-0.8976660682226245,-1.1976660682226246,15.0,1
2026-04-25,002380,KCC,KS,진입대기,82.81410364652965,2.4000000000000004,2,2026-04-24,557000.0,553000.0,-0.7181328545781018,-1.0181328545781019,15.0,1
2026-04-25,072710,농심홀딩스,KS,최종매수후보,82.4967284942992,2.4000000000000004,1,2026-04-24,97500.0,97600.0,0.10256410256410664,-0.19743589743589335,15.0,1
2026-04-25,072710,농심홀딩스,KS,최종매수후보,82.4967284942992,2.4000000000000004,2,2026-04-24,97500.0,97700.0,0.20512820512821328,-0.09487179487178671,15.0,1
2026-04-25,00088K,한화3우B,KS,진입대기,82.47247912927207,2.4000000000000004,1,2026-04-24,50200.0,50100.0,-0.19920318725099584,-0.49920318725099583,15.0,1
2026-04-25,00088K,한화3우B,KS,진입대기,82.47247912927207,2.4000000000000004,2,2026-04-24,50200.0,48800.0,-2.7888446215139417,-3.0888446215139416,15.0,1
2026-04-25,093050,LF,KS,진입대기,82.41333163493826,2.4000000000000004,1,2026-04-24,25600.0,25650.0,0.1953125,-0.10468749999999999,15.0,1
2026-04-25,093050,LF,KS,진입대기,82.41333163493826,2.4000000000000004,2,2026-04-24,25600.0,25500.0,-0.390625,-0.690625,15.0,1
2026-04-25,015750,성우하이텍,KQ,진입대기,82.14832628543772,2.4000000000000004,1,2026-04-24,8950.0,9320.0,4.134078212290504,3.734078212290504,20.0,1
2026-04-25,015750,성우하이텍,KQ,진입대기,82.14832628543772,2.4000000000000004,2,2026-04-24,8950.0,9160.0,2.346368715083802,1.946368715083802,20.0,1
2026-04-25,001800,오리온홀딩스,KS,진입대기,82.05618082576999,2.4000000000000004,1,2026-04-24,24950.0,24850.0,-0.4008016032064132,-0.7008016032064133,15.0,1
2026-04-25,001800,오리온홀딩스,KS,진입대기,82.05618082576999,2.4000000000000004,2,2026-04-24,24950.0,24550.0,-1.603206412825653,-1.903206412825653,15.0,1
