date,name,ticker,market,sector_group,close,ma20,ma60,ma120,ma200,above_ma200,RSI14,macd_hist,volume_ratio_20d,breakout_20d_high,return_5d,return_20d,trailing_eps_dart,consensus_eps_scrape,forward_eps_auto,source_primary,eps_source_used,manual_forward_eps,expected_eps,pe_now,fair_price_base,upside_base_pct,valuation_score,technical_score,market_regime,regime_weight_multiplier
2026-05-09,삼성전자,005930,KS,반도체와반도체장비,268500.0,224425.0,200032.5,161737.91666666666,129000.0,1,77.71739130434783,4858.942057850361,1.0157596113259237,0,18.805309734513266,27.55344418052257,7732.577940801414,36464.0,36464.0,DART|DAILY_DISC,TRAILING_DART,,7732.577940801414,34.72321935266162,92790.93528961697,-65.44099244334564,0.0,90.0,NEUTRAL,1.0
2026-05-09,SK하이닉스,000660,KS,반도체와반도체장비,1686000.0,1260300.0,1042550.0,848950.0,649977.5,1,92.7536231884058,45577.72319971133,1.0518050148541696,1,30.39443155452437,63.21393998063891,60260.64190203718,224066.0,224066.0,DART|DAILY_DISC,TRAILING_DART,,60260.64190203718,27.978460679872093,723127.7028244461,-57.109863414920156,0.0,100.0,NEUTRAL,1.0
2026-05-09,현대차,005380,KS,자동차,613000.0,531400.0,519216.6666666667,432937.5,350515.0,1,68.20276497695852,6808.251551644955,3.79332882592793,1,10.251798561151082,20.669291338582685,50619.69175811383,40715.0,40715.0,DART|DAILY_DISC,TRAILING_DART,,50619.69175811383,12.109911749941508,607436.301097366,-0.9076180917836796,47.7309547705408,100.0,NEUTRAL,1.0
2026-05-09,LG에너지솔루션,373220,KS,전기제품,476500.0,449925.0,410616.6666666667,410937.5,400345.0,1,67.95252225519287,952.9412691567923,0.7336142502350862,0,0.7399577167019,17.364532019704427,345.3119658119658,-416.0,-416.0,DART|DAILY_DISC,TRAILING_DART,,345.3119658119658,1379.9116369441729,4143.74358974359,-99.13037909973902,0.0,95.0,NEUTRAL,1.0
2026-05-09,SK스퀘어,402340,KS,복합기업,1098000.0,776250.0,631550.0,501158.3333333333,377538.5,1,97.22222222222223,39493.42337111721,1.0655648067786727,1,32.28915662650602,89.96539792387543,66829.3639178036,187971.0,187971.0,DART,TRAILING_DART,,66829.3639178036,16.42990349796654,801952.3670136431,-26.962443805679126,0.0,100.0,NEUTRAL,1.0
2026-05-09,삼성바이오로직스,207940,KS,제약,1472000.0,1535650.0,1598733.3333333333,1684324.853125,1668667.981875,0,16.972477064220186,-5754.009627329822,1.0671911864337535,0,-0.06788866259335169,-7.88485607008761,38546.45502083118,39968.0,39968.0,DART,TRAILING_DART,,38546.45502083118,38.187688055996475,462557.46024997416,-68.57625949388762,0.0,55.0,NEUTRAL,1.0
2026-05-09,한화에어로스페이스,012450,KS,우주항공과국방,1307000.0,1439500.0,1365783.3333333333,1200191.6666666667,1101425.0,1,29.051383399209485,-17824.614539550126,1.1816166709525107,0,-7.95774647887324,-11.92722371967655,42704.38030261037,46112.0,46112.0,DART|DAILY_DISC,TRAILING_DART,,42704.38030261037,30.6057596606807,512452.56363132445,-60.79169367778696,0.0,70.0,NEUTRAL,1.0
2026-05-09,두산에너빌리티,034020,KS,기계,129600.0,117410.0,105245.0,93677.5,83636.0,1,71.46118721461187,1041.7332612966538,1.0406870343713952,0,0.3095975232198178,28.06324110671936,320.2863634192387,512.0,512.0,DART,TRAILING_DART,,320.2863634192387,404.637895339803,3843.436361030864,-97.03438552389593,0.0,90.0,NEUTRAL,1.0
2026-05-09,기아,000270,KS,자동차,164500.0,155075.0,161268.33333333334,145885.0,129817.5,1,59.375,898.5629413958702,2.9571023160769374,1,4.843849585723392,3.3291457286432236,19349.186729689773,21385.0,21385.0,DART|DAILY_DISC,TRAILING_DART,,19349.186729689773,8.501649309507565,232190.2407562773,41.14908252661233,100.0,100.0,NEUTRAL,1.0
2026-05-09,KB금융,105560,KS,은행,161700.0,158940.0,155265.0,141962.5,130898.0,1,48.125,-24.12286449459043,1.0979816420269717,1,0.6849315068493178,3.653846153846163,15665.033853854356,16924.0,16924.0,DART|DAILY_DISC,TRAILING_DART,,15665.033853854356,10.32235241293232,187980.40624625227,16.25257034400265,90.63142586000663,100.0,NEUTRAL,1.0
