ticker,market,data_source,row_count,latest_trade_date,stale_flag,latest_close
068760,KQ,yfinance,245,20260508,0,53700.0
069080,KQ,yfinance,245,20260508,0,11790.0
073490,KQ,yfinance,245,20260508,0,51200.0
074600,KQ,yfinance,245,20260508,0,39800.0
077360,KQ,yfinance,245,20260508,0,18170.0
078020,KQ,yfinance,245,20260508,0,8190.0
078070,KQ,yfinance,245,20260508,0,15460.0
078160,KQ,yfinance,245,20260508,0,26800.0
078340,KQ,yfinance,245,20260508,0,31200.0
078350,KQ,yfinance,245,20260508,0,32200.0
078600,KQ,yfinance,245,20260508,0,149900.0
079370,KQ,yfinance,245,20260508,0,16780.0
079940,KQ,yfinance,245,20260508,0,32150.0
080220,KQ,yfinance,245,20260508,0,54700.0
080580,KQ,yfinance,245,20260508,0,26900.0
082270,KQ,yfinance,245,20260508,0,21400.0
082920,KQ,yfinance,245,20260508,0,59000.0
083450,KQ,yfinance,245,20260508,0,58700.0
083650,KQ,yfinance,245,20260508,0,94700.0
084110,KQ,yfinance,245,20260508,0,64800.0
084370,KQ,yfinance,245,20260508,0,148600.0
084850,KQ,yfinance,245,20260508,0,17210.0
084990,KQ,yfinance,245,20260508,0,7920.0
085660,KQ,yfinance,245,20260508,0,15740.0
085910,KQ,yfinance,245,20260508,0,29100.0
086390,KQ,yfinance,245,20260508,0,18430.0
086450,KQ,yfinance,245,20260508,0,23100.0
086520,KQ,yfinance,245,20260508,0,155000.0
086820,KQ,yfinance,245,20260508,0,10700.0
086900,KQ,yfinance,245,20260508,0,103500.0
087010,KQ,yfinance,245,20260508,0,257000.0
088980,KS,yfinance,245,20260508,0,11290.0
089010,KQ,yfinance,245,20260508,0,41050.0
089030,KQ,yfinance,245,20260508,0,59300.0
089890,KQ,yfinance,245,20260508,0,41600.0
089970,KQ,yfinance,245,20260508,0,55500.0
089980,KQ,yfinance,245,20260508,0,26550.0
090360,KQ,yfinance,245,20260508,0,70700.0
091580,KQ,yfinance,245,20260508,0,26500.0
091700,KQ,yfinance,245,20260508,0,7460.0
092460,KQ,yfinance,245,20260508,0,18800.0
092730,KQ,yfinance,245,20260508,0,20150.0
092790,KS,yfinance,245,20260508,0,19840.0
092870,KQ,yfinance,245,20260508,0,37550.0
093320,KQ,yfinance,245,20260508,0,109300.0
093520,KQ,yfinance,245,20260508,0,26000.0
094170,KQ,yfinance,245,20260508,0,51100.0
094360,KQ,yfinance,245,20260508,0,19050.0
094480,KQ,yfinance,245,20260508,0,8150.0
095340,KQ,yfinance,245,20260508,0,253500.0
095500,KQ,yfinance,245,20260508,0,10670.0
095610,KQ,yfinance,245,20260508,0,92900.0
095660,KQ,yfinance,245,20260508,0,20950.0
095700,KQ,yfinance,245,20260508,0,5300.0
096530,KQ,yfinance,245,20260508,0,24400.0
098070,KQ,yfinance,245,20260508,0,43850.0
098120,KQ,yfinance,245,20260508,0,37200.0
098460,KQ,yfinance,245,20260508,0,40700.0
099190,KQ,yfinance,245,20260508,0,20500.0
099320,KQ,yfinance,245,20260508,0,175200.0
099430,KQ,yfinance,245,20260508,0,5700.0
099440,KQ,yfinance,245,20260508,0,4095.0
100790,KQ,yfinance,245,20260508,0,57500.0
101160,KQ,yfinance,245,20260508,0,31800.0
101360,KQ,yfinance,245,20260508,0,18560.0
101490,KQ,yfinance,245,20260508,0,87500.0
101730,KQ,yfinance,245,20260508,0,5210.0
102710,KQ,yfinance,245,20260508,0,55900.0
102940,KQ,yfinance,245,20260508,0,63800.0
104830,KQ,yfinance,245,20260508,0,50200.0
108490,KQ,yfinance,245,20260508,0,334500.0
108860,KQ,yfinance,245,20260508,0,13250.0
110990,KQ,yfinance,245,20260508,0,24650.0
112040,KQ,yfinance,245,20260508,0,22850.0
114190,KQ,yfinance,245,20260508,0,15150.0
114810,KQ,yfinance,245,20260508,0,16740.0
115180,KQ,yfinance,245,20260508,0,32000.0
115450,KQ,yfinance,245,20260508,0,3330.0
117730,KQ,yfinance,245,20260508,0,21300.0
119850,KQ,yfinance,245,20260508,0,38000.0
121600,KQ,yfinance,245,20260508,0,80900.0
122640,KQ,yfinance,245,20260508,0,25900.0
122870,KQ,yfinance,245,20260508,0,50200.0
124500,KQ,yfinance,245,20260508,0,58100.0
126340,KQ,yfinance,245,20260508,0,182200.0
127120,KQ,yfinance,245,20260508,0,43400.0
131290,KQ,yfinance,245,20260508,0,174700.0
131970,KQ,yfinance,245,20260508,0,144900.0
136480,KQ,yfinance,245,20260508,0,3170.0
137400,KQ,yfinance,245,20260508,0,56600.0
138080,KQ,yfinance,245,20260508,0,53300.0
138610,KQ,yfinance,245,20260508,0,23950.0
140410,KQ,yfinance,245,20260508,0,82500.0
140860,KQ,yfinance,245,20260508,0,305500.0
141080,KQ,yfinance,245,20260508,0,187100.0
144510,KQ,yfinance,245,20260508,0,22350.0
145020,KQ,yfinance,245,20260508,0,291500.0
151860,KQ,yfinance,245,20260508,0,6830.0
160980,KQ,yfinance,245,20260508,0,37050.0
161580,KQ,yfinance,245,20260508,0,54700.0
166090,KQ,yfinance,245,20260508,0,80000.0
168360,KQ,yfinance,245,20260508,0,24150.0
170920,KQ,yfinance,245,20260508,0,44950.0
171090,KQ,yfinance,245,20260508,0,92500.0
174900,KQ,yfinance,245,20260508,0,44700.0
178320,KQ,yfinance,245,20260508,0,66100.0
179900,KQ,yfinance,245,20260508,0,20400.0
180400,KQ,yfinance,245,20260508,0,4135.0
183300,KQ,yfinance,245,20260508,0,149500.0
189300,KQ,yfinance,245,20260508,0,161900.0
195940,KQ,yfinance,245,20260508,0,50200.0
196170,KQ,yfinance,245,20260508,0,340500.0
199800,KQ,yfinance,245,20260508,0,122800.0
200130,KQ,yfinance,245,20260508,0,11450.0
200470,KQ,yfinance,245,20260508,0,9980.0
200670,KQ,yfinance,245,20260508,0,34500.0
200710,KQ,yfinance,245,20260508,0,51400.0
204270,KQ,yfinance,245,20260508,0,20750.0
204620,KQ,yfinance,245,20260508,0,6000.0
206650,KQ,yfinance,245,20260508,0,12270.0
211050,KQ,yfinance,245,20260508,0,10440.0
213420,KQ,yfinance,245,20260508,0,51600.0
214150,KQ,yfinance,245,20260508,0,55600.0
214370,KQ,yfinance,245,20260508,0,97200.0
214430,KQ,yfinance,245,20260508,0,93500.0
214450,KQ,yfinance,245,20260508,0,341000.0
215000,KQ,yfinance,245,20260508,0,49900.0
215200,KQ,yfinance,245,20260508,0,47250.0
215600,KQ,yfinance,245,20260508,0,3425.0
217730,KQ,yfinance,245,20260508,0,3690.0
218410,KQ,yfinance,245,20260508,0,99700.0
220100,KQ,yfinance,245,20260508,0,18460.0
222080,KQ,yfinance,245,20260508,0,16630.0
222800,KQ,yfinance,245,20260508,0,115800.0
225570,KQ,yfinance,245,20260508,0,11220.0
226590,KQ,yfinance,245,20260508,0,25800.0
226950,KQ,yfinance,245,20260508,0,168000.0
228760,KQ,yfinance,245,20260508,0,15660.0
230240,KQ,yfinance,245,20260508,0,38050.0
230360,KQ,yfinance,245,20260508,0,16000.0
232140,KQ,yfinance,245,20260508,0,21550.0
234340,KQ,yfinance,245,20260508,0,34700.0
236200,KQ,yfinance,245,20260508,0,52100.0
237690,KQ,yfinance,245,20260508,0,156000.0
240810,KQ,yfinance,245,20260508,0,132900.0
241520,KQ,yfinance,245,20260508,0,15720.0
241710,KQ,yfinance,245,20260508,0,76800.0
241770,KQ,yfinance,245,20260508,0,37100.0
243070,KQ,yfinance,245,20260508,0,30250.0
243840,KQ,yfinance,245,20260508,0,10010.0
247540,KQ,yfinance,245,20260508,0,237500.0
251370,KQ,yfinance,245,20260508,0,19780.0
251970,KQ,yfinance,245,20260508,0,41800.0
252990,KQ,yfinance,245,20260508,0,13650.0
253450,KQ,yfinance,245,20260508,0,31700.0
253590,KQ,yfinance,245,20260508,0,17800.0
255220,KQ,yfinance,245,20260508,0,2505.0
257720,KQ,yfinance,245,20260508,0,45050.0
263750,KQ,yfinance,245,20260508,0,52500.0
265520,KQ,yfinance,245,20260508,0,30200.0
272110,KQ,yfinance,245,20260508,0,38250.0
272290,KQ,yfinance,245,20260508,0,37500.0
274090,KQ,yfinance,245,20260508,0,21850.0
277810,KQ,yfinance,245,20260508,0,784000.0
278280,KQ,yfinance,245,20260508,0,60800.0
281740,KQ,yfinance,245,20260508,0,22150.0
290550,KQ,yfinance,245,20260508,0,31200.0
290650,KQ,yfinance,245,20260508,0,61700.0
293490,KQ,yfinance,245,20260508,0,11610.0
294570,KQ,yfinance,245,20260508,0,28750.0
298380,KQ,yfinance,245,20260508,0,130100.0
298830,KQ,yfinance,245,20260508,0,8170.0
304100,KQ,yfinance,245,20260508,0,22100.0
304360,KQ,yfinance,245,20260508,0,33550.0
310210,KQ,yfinance,245,20260508,0,284500.0
314930,KQ,yfinance,245,20260508,0,11480.0
317330,KQ,yfinance,245,20260508,0,30000.0
319660,KQ,yfinance,245,20260508,0,104000.0
322310,KQ,yfinance,245,20260508,0,35450.0
323280,KQ,yfinance,245,20260508,0,76500.0
327260,KQ,yfinance,245,20260508,0,113600.0
