trade_date,ticker,open,high,low,close,adj_close,volume,value_traded,data_source,market,stale_flag
20250428,005930,55800.0,55900.0,55500.0,55800.0,54946.37890625,9341518,521256704400.0,yfinance,KS,1
20250429,005930,55700.0,56500.0,55600.0,55800.0,54946.37890625,10295518,574489904400.0,yfinance,KS,1
20250430,005930,55900.0,56000.0,55300.0,55500.0,54650.96875,13014189,722287489500.0,yfinance,KS,1
20250502,005930,55000.0,55500.0,54200.0,54300.0,53469.328125,22454204,1219263277200.0,yfinance,KS,1
20250507,005930,54500.0,55000.0,54300.0,54600.0,53764.73828125,17136991,935679708600.0,yfinance,KS,1
20250508,005930,55100.0,55500.0,54500.0,54600.0,53764.73828125,16320532,891101047200.0,yfinance,KS,1
20250509,005930,54700.0,55000.0,54400.0,54800.0,53961.67578125,7814322,428224845600.0,yfinance,KS,1
20250512,005930,55200.0,57600.0,55000.0,57600.0,56718.83984375,15414702,887886835200.0,yfinance,KS,1
20250513,005930,57700.0,58200.0,56800.0,56900.0,56029.5546875,16842801,958355376900.0,yfinance,KS,1
20250514,005930,57500.0,57900.0,57000.0,57400.0,56521.90234375,12468089,715668308600.0,yfinance,KS,1
20250515,005930,57400.0,58600.0,57100.0,57300.0,56423.43359375,13139736,752906872800.0,yfinance,KS,1
20250516,005930,57400.0,57500.0,56700.0,56800.0,55931.08203125,10385352,589887993600.0,yfinance,KS,1
20250519,005930,56400.0,56400.0,55500.0,55800.0,54946.37890625,9802105,546957459000.0,yfinance,KS,1
20250520,005930,56200.0,56700.0,55700.0,55900.0,55044.8515625,9080577,507604254300.0,yfinance,KS,1
20250521,005930,56200.0,56600.0,55700.0,55700.0,54847.90625,7794181,434135881700.0,yfinance,KS,1
20250522,005930,55300.0,55500.0,54500.0,54700.0,53863.20703125,15254278,834409006600.0,yfinance,KS,1
20250523,005930,55000.0,55200.0,54100.0,54200.0,53370.85546875,11247115,609593633000.0,yfinance,KS,1
20250526,005930,53900.0,55000.0,53700.0,54700.0,53863.20703125,10901337,596303133900.0,yfinance,KS,1
20250527,005930,54200.0,54500.0,53800.0,53900.0,53075.4453125,13439520,724390128000.0,yfinance,KS,1
20250528,005930,54300.0,56100.0,54200.0,55900.0,55044.8515625,17516283,979160219700.0,yfinance,KS,1
20250529,005930,56200.0,56400.0,55600.0,56100.0,55241.7890625,12936810,725755041000.0,yfinance,KS,1
20250530,005930,56200.0,57200.0,55800.0,56200.0,55340.26171875,26219683,1473546184600.0,yfinance,KS,1
20250602,005930,56300.0,57300.0,56200.0,56800.0,55931.08203125,12870515,731045252000.0,yfinance,KS,1
20250604,005930,57200.0,57900.0,56800.0,57800.0,56915.78515625,19649983,1135769017400.0,yfinance,KS,1
20250605,005930,58100.0,59900.0,57900.0,59100.0,58195.8984375,23266027,1375022195700.0,yfinance,KS,1
20250609,005930,60400.0,60400.0,59500.0,59800.0,58885.1875,19609659,1172657608200.0,yfinance,KS,1
20250610,005930,60000.0,60100.0,58800.0,59200.0,58294.3671875,15305760,906100992000.0,yfinance,KS,1
20250611,005930,59500.0,60100.0,59400.0,59900.0,58983.65625,13610734,815282966600.0,yfinance,KS,1
20250612,005930,59700.0,60000.0,59300.0,59500.0,58589.7734375,17755115,1056429342500.0,yfinance,KS,1
20250613,005930,60200.0,60200.0,57700.0,58300.0,57408.1328125,20705979,1207158575700.0,yfinance,KS,1
20250616,005930,58000.0,58100.0,56900.0,57200.0,56324.96484375,22200872,1269889878400.0,yfinance,KS,1
20250617,005930,57800.0,59800.0,57400.0,58100.0,57211.1953125,28637003,1663809874300.0,yfinance,KS,1
20250618,005930,58000.0,59800.0,57900.0,59800.0,58885.1875,17620705,1053718159000.0,yfinance,KS,1
20250619,005930,60500.0,60600.0,59000.0,59200.0,58294.3671875,16876278,999075657600.0,yfinance,KS,1
20250620,005930,59400.0,59800.0,59100.0,59500.0,58589.7734375,18072251,1075298934500.0,yfinance,KS,1
20250623,005930,58400.0,58500.0,57600.0,58000.0,57112.72265625,16551694,959998252000.0,yfinance,KS,1
20250624,005930,59400.0,60600.0,59300.0,60500.0,59574.48046875,23737899,1436142889500.0,yfinance,KS,1
20250625,005930,61500.0,61600.0,60300.0,61300.0,60362.2421875,23933612,1467130415600.0,yfinance,KS,1
20250626,005930,61300.0,61300.0,59900.0,60200.0,59279.06640625,19402300,1168018460000.0,yfinance,KS,1
20250627,005930,60100.0,61600.0,60000.0,60800.0,60237.1171875,17340470,1054300576000.0,yfinance,KS,1
20250630,005930,61200.0,61200.0,59800.0,59800.0,59246.375,17110294,1023195581200.0,yfinance,KS,1
20250701,005930,60400.0,61100.0,60200.0,60200.0,59642.671875,13650991,821789658200.0,yfinance,KS,1
20250702,005930,60200.0,60900.0,59800.0,60800.0,60237.1171875,15047951,914915420800.0,yfinance,KS,1
20250703,005930,61300.0,63800.0,61100.0,63800.0,63209.34375,32040639,2044192768200.0,yfinance,KS,1
20250704,005930,64700.0,64700.0,63000.0,63300.0,62713.97265625,23748959,1503309104700.0,yfinance,KS,1
20250707,005930,62900.0,63300.0,61700.0,61700.0,61128.78515625,17164708,1059062483600.0,yfinance,KS,1
20250708,005930,61600.0,62400.0,61000.0,61400.0,60831.5625,20213724,1241122653600.0,yfinance,KS,1
20250709,005930,61400.0,61400.0,60200.0,60400.0,59840.8203125,17533415,1059018266000.0,yfinance,KS,1
20250710,005930,60600.0,61200.0,60400.0,61000.0,60435.265625,14768473,900876853000.0,yfinance,KS,1
20250711,005930,61300.0,62800.0,61200.0,62600.0,62020.453125,19140650,1198204690000.0,yfinance,KS,1
20250714,005930,62300.0,62600.0,61800.0,62500.0,61921.37890625,13563846,847740375000.0,yfinance,KS,1
20250715,005930,62300.0,63800.0,62000.0,63700.0,63110.26953125,18442202,1174768267400.0,yfinance,KS,1
20250716,005930,63700.0,64700.0,63100.0,64700.0,64101.01171875,23042660,1490860102000.0,yfinance,KS,1
20250717,005930,65900.0,66800.0,64400.0,66700.0,66082.4921875,39448683,2631227156100.0,yfinance,KS,1
20250718,005930,67000.0,67800.0,66300.0,67100.0,66478.796875,23951531,1607147730100.0,yfinance,KS,1
20250721,005930,67400.0,68800.0,67200.0,67800.0,67172.3125,17723148,1201629434400.0,yfinance,KS,1
20250722,005930,68100.0,68500.0,65600.0,66000.0,65388.9765625,20829006,1374714396000.0,yfinance,KS,1
20250723,005930,66200.0,66500.0,64900.0,66400.0,65785.2734375,15687058,1041620651200.0,yfinance,KS,1
20250724,005930,66500.0,66800.0,65900.0,66000.0,65388.9765625,12660193,835572738000.0,yfinance,KS,1
20250725,005930,65700.0,66300.0,65500.0,65900.0,65289.90625,8080910,532531969000.0,yfinance,KS,1
20250728,005930,68200.0,70400.0,67200.0,70400.0,69748.2421875,35332500,2487408000000.0,yfinance,KS,1
20250729,005930,70800.0,70800.0,68800.0,70600.0,69946.390625,28190940,1990280364000.0,yfinance,KS,1
20250730,005930,71000.0,73700.0,70600.0,72600.0,71927.875,34761444,2523680834400.0,yfinance,KS,1
