당일기준일,전일기준일,변화상태,종목명,종목코드,전일추천순위,당일추천순위,순위변화,전일결합액션,당일결합액션,전일종합점수,당일종합점수,종합점수변화,전일기술점수,당일기술점수,기술점수변화,전일밸류점수,당일밸류점수,밸류점수변화,전일20일돌파,당일20일돌파,전일거래량비율20일,당일거래량비율20일,거래량비율20일변화,전일상승여력(%),당일상승여력(%),상승여력변화(%)
2026-04-27,2026-04-25,신규,오리온홀딩스,001800,,10.0,,,최종매수후보,,86.95440579545361,,,74.13080290630559,,,99.77800868460163,,,1.0,,0.6222351878267284,,,157.78008684601636,
2026-04-27,2026-04-25,신규,넥센타이어,002350,,36.0,,,최종매수후보,,77.98085795253213,,,57.7767574315889,,,98.18495847347536,,,1.0,,0.8120554495328917,,,141.84958473475368,
2026-04-27,2026-04-25,신규,삼천리,004690,,29.0,,,최종매수후보,,80.33593036564457,,,60.67186073128916,,,100.0,,,1.0,,0.7245143094302584,,,169.32232532975019,
2026-04-27,2026-04-25,신규,F&F홀딩스,007700,,27.0,,,최종매수후보,,81.1463526886445,,,62.29270537728898,,,100.0,,,1.0,,1.7880078415466774,,,465.76816332174576,
2026-04-27,2026-04-25,신규,성우하이텍,015750,,5.0,,,최종매수후보,,91.44921084377788,,,82.89842168755575,,,100.0,,,1.0,,1.4875346241620928,,,185.62345430353315,
2026-04-27,2026-04-25,신규,DB증권,016610,,14.0,,,최종매수후보,,85.14195231219308,,,77.4381559316439,,,92.84574869274226,,,1.0,,1.3821974396809933,,,88.45748692742268,
2026-04-27,2026-04-25,신규,한국단자,025540,,42.0,,,최종매수후보,,76.0342537710498,,,82.32305702856088,,,69.74545051353874,,,1.0,,0.6737837263649883,,,45.76223155929038,
2026-04-27,2026-04-25,신규,솔브레인홀딩스,036830,,1.0,,,최종매수후보,,93.8821806474935,,,87.76436129498698,,,100.0,,,1.0,,1.6311930629089895,,,307.91338946110596,
2026-04-27,2026-04-25,신규,한국금융지주,071050,,24.0,,,최종매수후보,,81.88707131409925,,,81.8497107089632,,,81.92443191923527,,,1.0,,0.7642314126427314,,,64.49912602959273,
2026-04-27,2026-04-25,신규,한화생명,088350,,8.0,,,최종매수후보,,88.00019927555428,,,78.7976708845444,,,97.20272766656416,,,1.0,,0.9694606614936518,,,132.02727666564152,
