추천순위,결합순위,기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank,선정의견,판단코멘트
11,11,2026-04-28,GS,078930,KS,석유와가스,76800.0,70715.0,68883.33333333333,63141.25,56917.75,1,64.49844420877054,608.2382117048433,1.1226120917536444,1,8.47457627118644,20.376175548589348,11172.929845907744,8318.0,8318.0,DART,TRAILING_DART,,11172.929845907744,6.873756575866193,134075.15815089294,74.57702884230851,88.47506874750053,0,3.0,83.43690969902539,85.95598922326296,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,65.72164948453609,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
12,12,2026-04-28,KG케미칼,001390,KS,자동차,6140.0,5650.0,5554.25,5429.0,5192.65,1,63.66855643212668,52.77079792358194,0.826276335742511,0,8.098591549295776,23.29317269076305,3628.948809580648,,3991.843690538713,DART,TRAILING_DART,,3628.948809580648,1.6919500169828858,43547.38571496777,609.2408096900289,100.0,0,3.0,71.12997729668622,85.5649886483431,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,38.78865979381443,우선검토,추세는 양호하지만 확인이 더 필요합니다.
13,13,2026-04-28,성우하이텍,015750,KQ,자동차부품,9160.0,8791.5,8680.666666666666,7765.75,7076.75,1,54.39446200530766,46.15198626480077,1.605875241130063,0,0.4385964912280604,9.047619047619037,2223.1025526625,,2445.41280792875,DART,TRAILING_DART,,2223.1025526625,4.120367721691256,26677.23063195,191.23614227019647,100.0,0,3.0,70.80254034906741,85.4012701745337,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,84.02061855670104,우선검토,추세는 양호하지만 확인이 더 필요합니다.
14,14,2026-04-28,현대차3우B,005389,KS,자동차,250000.0,238225.0,248816.66666666663,232089.16666666663,206339.5,1,55.88802622221073,1611.4611313688088,2.0831644030002026,1,0.6036217303822866,11.60714285714286,,40715.0,40715.0,SCRAPE,CONSENSUS_SCRAPE,,40715.0,6.140243153628884,488580.0,95.432,93.5432,0,3.0,77.01776554810864,85.28048277405432,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,89.0463917525773,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
15,15,2026-04-28,E1,017940,KS,가스유틸리티,104100.0,97815.0,98875.0,91028.33333333331,86676.5,1,64.17056643422119,863.1555808453261,1.2112681012791864,1,8.09968847352025,3.685258964143423,16647.301354081632,,18312.0314894898,DART,TRAILING_DART,,16647.301354081632,6.253265786798319,199767.61624897958,91.89972742457213,93.18997274245721,0,3.0,77.27123949405596,85.23060611825659,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,70.87628865979381,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
16,16,2026-04-28,대한해운,005880,KS,해운사,2685.0,2611.75,2368.95,2091.8083333333334,1965.385,1,54.12889315884541,-11.05774204601022,0.2807867857097063,0,-1.2867647058823484,12.10855949895615,536.828793253571,476.0,476.0,DART,TRAILING_DART,,536.828793253571,5.0015946121797175,6441.9455190428525,139.92348301835577,97.99234830183558,0,3.0,70.97012596966859,84.48123713575208,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,2.7061855670103094,우선검토,추세는 양호하지만 확인이 더 필요합니다.
17,17,2026-04-28,더블유게임즈,192080,KS,게임엔터테인먼트,62000.0,51562.5,51921.66666666666,52309.16666666666,52966.5,1,79.85610691998275,1197.5823722974296,5.254233318167655,1,19.92263056092842,24.74849094567404,8492.266220913834,8230.0,8230.0,DART,TRAILING_DART,,8492.266220913834,7.30076029026423,101907.194650966,64.36644298542905,81.83818794052888,0,3.0,85.04097642889366,83.43958218471127,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,98.32474226804123,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
18,18,2026-04-28,iM금융지주,139130,KS,은행,19280.0,18076.0,17813.833333333332,16139.583333333334,15280.05,1,65.96800286677933,112.46392770865714,0.5290983934116521,1,1.5806111696522684,15.380011968880902,2848.1692618619904,3056.0,3056.0,DART|DAILY_DISC,TRAILING_DART,,2848.1692618619904,6.769260611778284,34178.03114234388,77.27194575904504,90.22676474337928,0,3.0,76.25437467416602,83.24056970877265,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,13.015463917525775,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
19,19,2026-04-28,INVENI,015360,KS,가스유틸리티,16640.0,16073.5,15807.5,14469.416666666666,13639.55,1,61.289940206662514,14.21969385879629,1.5839338606910631,0,4.065040650406515,9.617918313570485,3182.2162935779816,,3500.43792293578,DART,TRAILING_DART,,3182.2162935779816,5.22906002133831,38186.59552293578,129.4867519407198,96.94867519407198,0,3.0,69.24208426573128,83.09537972990162,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,83.50515463917526,우선검토,추세는 양호하지만 확인이 더 필요합니다.
20,20,2026-04-28,현대차2우B,005387,KS,자동차,260000.0,245200.0,259991.66666666663,240864.16666666663,213151.0,1,55.888569170224045,2179.2522098022723,1.4959724559668033,1,1.167315175097272,11.8279569892473,,40715.0,40715.0,SCRAPE,CONSENSUS_SCRAPE,,40715.0,6.385852879774039,488580.0,87.91538461538462,92.79153846153847,0,3.0,73.35656432405526,83.07405139279686,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,81.31443298969072,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
