기준일,추천순위,결합순위,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),상대강도20일,후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank
2026-05-06,1,1,KCC,002380,KS,건축자재,623000.0,546550.0,538725.0,483137.5,446582.5,1,66.76226518117358,6049.947528378885,3.6966047466408414,1,12.86231884057971,36.3238512035011,36.3238512035011,173127.92396137904,60152.0,60152.0,DART|DAILY_DISC,TRAILING_DART,,173127.92396137904,3.598495180586682,2077535.0875365485,233.4727267313882,100.0,0,3.0,90.07823291968334,95.03911645984167,최종매수후보,3.0,BULL,1.0,6.032885049970725,상승여력 233% | 200일↑ | 20일돌파 | 거래량x3.7 | RSI우호 | MACD+,EPS스크랩,94.85199485199485
2026-05-06,2,2,한화,000880,KS,복합기업,140600.0,128960.0,123771.66666666667,108432.5,100620.5,1,66.83027913880682,1084.7446098120245,2.058115696179795,1,6.676783004552345,22.154648132059073,22.154648132059073,28246.47256998182,10406.0,10406.0,DART|DAILY_DISC,TRAILING_DART,,28246.47256998182,4.977612678951597,338957.6708397818,141.07942449486615,98.10794244948661,0,3.0,88.88656547197847,93.49725396073254,최종매수후보,3.0,BULL,1.0,15.735137423889366,상승여력 141% | 200일↑ | 20일돌파 | 거래량x2.1 | RSI우호 | MACD+,EPS스크랩,83.3976833976834
2026-05-06,3,3,한화생명,088350,KS,생명보험,5250.0,4878.75,4783.833333333333,3982.9583333333335,3716.775,1,60.97553263377618,26.810533434741174,3.3402481844118275,1,6.815869786368256,16.407982261640797,16.407982261640797,962.9131981624124,,1059.2045179786537,DART,TRAILING_DART,,962.9131981624124,5.4522048404974655,11554.95837794895,120.0944452942657,96.00944452942657,0,3.0,89.14520005175733,92.57732229059195,최종매수후보,3.0,BULL,1.0,15.75323079224867,상승여력 120% | 200일↑ | 20일돌파 | 거래량x3.3 | RSI우호 | MACD+,,93.69369369369369
2026-05-06,4,4,삼지전자,037460,KQ,통신장비,37750.0,31855.0,26167.166666666668,20680.916666666668,17173.0,1,73.4223659019541,118.14584594567032,2.0705835328072064,1,11.192930780559651,39.81481481481482,39.81481481481482,7252.4396428794225,,7977.683607167365,DART,TRAILING_DART,,7252.4396428794225,5.205145007592533,87029.27571455308,130.5411277206704,97.05411277206704,0,3.0,87.48380202176939,92.26895739691821,최종매수후보,3.0,BULL,1.0,5.0,상승여력 131% | 200일↑ | 20일돌파 | 거래량x2.1 | MACD+,,83.91248391248392
2026-05-06,5,5,KG스틸,016380,KS,철강,7100.0,6068.0,5821.0,5599.083333333333,5634.825,1,79.18626608196728,134.63539520618525,1.6323262755568348,1,9.062980030721967,37.33075435203095,37.33075435203095,1355.2919371863486,,1490.8211309049836,DART,TRAILING_DART,,1355.2919371863486,5.238723706082058,16263.503246236183,129.06342600332655,96.90634260033265,0,3.0,85.18338485237233,91.04486372635249,최종매수후보,3.0,BULL,1.0,23.859072998481523,상승여력 129% | 200일↑ | 20일돌파 | 거래량x1.6 | MACD+,,71.94337194337194
2026-05-06,6,6,인화정공,101930,KQ,조선,14290.0,10630.0,9429.5,9810.083333333334,9512.85,1,73.2510113975863,502.17224373294744,6.091531208280627,0,48.08290155440416,39.55078125,39.55078125,2769.102616062893,,3046.0128776691827,DART,TRAILING_DART,,2769.102616062893,5.160516593753938,33229.231392754715,132.53485929149554,97.25348592914955,0,3.0,84.55321021514774,90.90334807214865,진입대기,3.0,BULL,1.0,19.55473076473032,상승여력 133% | 200일↑ | 거래량x6.1 | MACD+,,97.8120978120978
2026-05-06,7,7,서희건설,035890,KQ,건설,2675.0,1761.95,1669.3166666666666,1646.1583333333333,1665.715,1,70.37708455138781,130.1869872861909,5.533410062231642,0,64.81823783117684,64.81823783117684,64.81823783117684,524.790316019571,,577.2693476215281,DART,TRAILING_DART,,524.790316019571,5.097273936549243,6297.483792234852,135.41995484990102,97.5419954849901,0,3.0,83.82902466655715,90.68551007577362,진입대기,3.0,BULL,1.0,9.189177383339489,상승여력 135% | 200일↑ | 거래량x5.5 | MACD+,,97.16859716859717
2026-05-06,8,8,솔브레인홀딩스,036830,KQ,전기제품,71200.0,61930.0,55290.833333333336,48142.916666666664,46142.25,1,61.74790955098424,1193.2076045169415,1.0213049300939236,0,0.28169014084507005,49.57983193277311,49.57983193277311,24168.868325570533,,26585.755158127587,DART,TRAILING_DART,,24168.868325570533,2.9459385123411335,290026.41990684636,307.34047739725617,100.0,0,3.0,80.87885524356388,90.43942762178193,진입대기,3.0,BULL,1.0,5.0,상승여력 307% | 200일↑ | RSI우호 | MACD+,,34.49163449163449
2026-05-06,9,9,다우기술,023590,KS,증권,50100.0,48070.0,49456.666666666664,44578.75,41086.75,1,58.07392624139862,80.40807945548417,3.6683393089119116,1,4.483837330552665,13.863636363636367,13.863636363636367,26705.72355943469,,29376.29591537816,DART,TRAILING_DART,,26705.72355943469,1.8760023441604337,320468.6827132163,539.658049327777,100.0,0,3.0,79.60366981735564,89.80183490867782,최종매수후보,3.0,BULL,1.0,12.931053443349882,상승여력 540% | 200일↑ | 20일돌파 | 거래량x3.7 | RSI우호 | MACD+,,94.72329472329473
2026-05-06,10,10,한화손해보험,000370,KS,손해보험,7090.0,6660.5,6933.5,6224.666666666667,6090.55,1,59.56820727422771,48.28098734916825,3.3149783601193663,1,6.296851574212892,12.53968253968254,12.53968253968254,2504.159516987116,,2754.575468685828,DART,TRAILING_DART,,2504.159516987116,2.8312892816550064,30049.914203845394,323.83517917976576,100.0,0,3.0,79.40410069289696,89.70205034644849,최종매수후보,3.0,BULL,1.0,6.809762477300303,상승여력 324% | 200일↑ | 20일돌파 | 거래량x3.3 | RSI우호 | MACD+,,93.43629343629344
