event_ts,trade_date,ticker,event,position_status,current_weight_pct,target_weight_pct,reason_code
2026-05-06 18:38:58,2026-05-06,013030,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,030610,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,042370,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,055550,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,192400,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,002790,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,036530,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,215200,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,059090,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,472850,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,073240,초기손절,청산,0.0,0.0,STOP_LOSS
2026-05-06 18:38:58,2026-05-06,003690,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,014830,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,161390,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,003470,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,005850,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,000270,유지,보유,0.0,0.0,KEEP
2026-05-06 18:38:58,2026-05-06,005380,유지,보유,0.0,0.0,KEEP
