당일기준일,전일기준일,변화상태,종목명,종목코드,전일추천순위,당일추천순위,순위변화,전일결합액션,당일결합액션,전일종합점수,당일종합점수,종합점수변화,전일기술점수,당일기술점수,기술점수변화,전일밸류점수,당일밸류점수,밸류점수변화,전일20일돌파,당일20일돌파,전일거래량비율20일,당일거래량비율20일,거래량비율20일변화,전일상승여력(%),당일상승여력(%),상승여력변화(%)
2026-04-25,2026-04-24,유지,DB손해보험,005830,28,28,0,최종매수후보,최종매수후보,80.93472663581275,80.69988370229252,-0.2348429335202269,71.84473122784432,71.37504536080385,-0.469685867040468,90.0247220437812,90.0247220437812,0.0,1,1,1.0339511916210915,0.9447108768834018,-0.08924031473768967,76.96111083658646,76.96111083658646,0.0
2026-04-25,2026-04-24,유지,KG스틸,016380,11,10,-1,최종매수후보,최종매수후보,86.66649465054654,86.5077850072395,-0.1587096433070343,73.33298930109308,73.015570014479,-0.3174192866140828,100.0,100.0,0.0,1,1,1.6128217906691016,1.5525121262124266,-0.06030966445667496,164.01790984149648,164.01790984149648,0.0
2026-04-25,2026-04-24,유지,일진홀딩스,015860,1,1,0,최종매수후보,최종매수후보,91.45176155314992,91.35684093752363,-0.09492061562629317,86.15902375796867,85.96918252671612,-0.1898412312525437,96.74449934833112,96.74449934833113,1.4210854715202004e-14,1,1,2.0287315758801374,1.9926617419421524,-0.03606983393798502,127.44499348331134,127.44499348331134,0.0
2026-04-25,2026-04-24,유지,효성,004800,8,7,-1,최종매수후보,최종매수후보,88.02083490243353,87.9582956578761,-0.06253924455742776,86.02274706048838,85.89766857137353,-0.12507848911485553,90.0189227443787,90.0189227443787,0.0,1,1,1.605149264006034,1.58138435107421,-0.023764912931824034,76.9521888375057,76.9521888375057,0.0
2026-04-25,2026-04-24,유지,KG케미칼,001390,2,2,0,최종매수후보,최종매수후보,90.29104777050011,90.22867451751966,-0.062373252980449934,80.58209554100026,80.45734903503933,-0.12474650596092829,100.0,100.0,0.0,1,1,1.7265616666909829,1.702859830558405,-0.023701836132577814,625.7897619161296,625.7897619161296,0.0
2026-04-25,2026-04-24,유지,유진투자증권,001200,40,40,0,최종매수후보,최종매수후보,77.69562736859282,77.65925629448427,-0.03637107410855833,79.08849479719711,79.01575264898001,-0.07274214821710245,76.30275993998853,76.30275993998853,0.0,1,1,0.9615126286186748,0.9476916204574263,-0.013821008161248538,55.850399907674685,55.850399907674685,0.0
2026-04-25,2026-04-24,유지,E1,017940,15,15,0,최종매수후보,최종매수후보,85.304467800995,85.26928108974911,-0.035186711245884794,77.08130938019336,77.01093595770159,-0.07037342249176959,93.52762622179664,93.52762622179664,0.0,1,1,1.3323483399965237,1.3189773897230876,-0.013370950273436044,95.27626221796636,95.27626221796635,-1.4210854715202004e-14
2026-04-25,2026-04-24,유지,DN오토모티브,007340,27,27,0,최종매수후보,최종매수후보,81.08307432134997,81.04847939789309,-0.0345949234568792,86.29691750063795,86.22772765372417,-0.06918984691377261,75.86923114206199,75.86923114206199,0.0,1,1,0.9441846863274894,0.931038615413873,-0.013146070913616414,55.18343252624922,55.18343252624922,0.0
2026-04-25,2026-04-24,유지,SK,034730,33,33,0,최종매수후보,최종매수후보,78.65971807286331,78.65971807286331,0.0,86.33921738263157,86.33921738263157,0.0,70.98021876309507,70.98021876309507,0.0,1,1,1.4869740965798848,1.4869740965798848,0.0,47.66187502014625,47.66187502014625,0.0
2026-04-25,2026-04-24,유지,케이프,064820,29,29,0,최종매수후보,최종매수후보,80.18548851280013,80.18548851280013,0.0,87.517481269418,87.517481269418,0.0,72.85349575618228,72.85349575618228,0.0,1,1,4.455083903744535,4.455083903744535,0.0,50.54383962489582,50.54383962489582,0.0
